"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","demo.defectdojo.org/104.131.110.75","443","INFO","HTTP","",""
"pre_128cipher","demo.defectdojo.org/104.131.110.75","443","INFO","No 128 cipher limit bug","",""
"SSLv2","demo.defectdojo.org/104.131.110.75","443","OK","not offered","",""
"SSLv3","demo.defectdojo.org/104.131.110.75","443","OK","not offered","",""
"TLS1","demo.defectdojo.org/104.131.110.75","443","INFO","not offered","",""
"TLS1_1","demo.defectdojo.org/104.131.110.75","443","INFO","is not offered","",""
"TLS1_2","demo.defectdojo.org/104.131.110.75","443","OK","offered","",""
"TLS1_3","demo.defectdojo.org/104.131.110.75","443","OK","offered with final","",""
"NPN","demo.defectdojo.org/104.131.110.75","443","INFO","not offered","",""
"ALPN_HTTP2","demo.defectdojo.org/104.131.110.75","443","OK","h2","",""
"ALPN","demo.defectdojo.org/104.131.110.75","443","INFO","http/1.1","",""
"cipherlist_NULL","demo.defectdojo.org/104.131.110.75","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","demo.defectdojo.org/104.131.110.75","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","demo.defectdojo.org/104.131.110.75","443","OK","not offered","","CWE-327"
"cipherlist_LOW","demo.defectdojo.org/104.131.110.75","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","demo.defectdojo.org/104.131.110.75","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","demo.defectdojo.org/104.131.110.75","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","demo.defectdojo.org/104.131.110.75","443","INFO","not offered","",""
"cipherlist_STRONG","demo.defectdojo.org/104.131.110.75","443","OK","offered","",""
"cipher_order","demo.defectdojo.org/104.131.110.75","443","OK","server","",""
"protocol_negotiated","demo.defectdojo.org/104.131.110.75","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","demo.defectdojo.org/104.131.110.75","443","OK","TLS_AES_128_GCM_SHA256, 253 bit ECDH (X25519)","",""
"cipher-tls1_2_xc02c","demo.defectdojo.org/104.131.110.75","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 256   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02b","demo.defectdojo.org/104.131.110.75","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 256   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xcca9","demo.defectdojo.org/104.131.110.75","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 256   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_2","demo.defectdojo.org/104.131.110.75","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-CHACHA20-POLY1305","",""
"cipher-tls1_3_x1301","demo.defectdojo.org/104.131.110.75","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1303","demo.defectdojo.org/104.131.110.75","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1302","demo.defectdojo.org/104.131.110.75","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipherorder_TLSv1_3","demo.defectdojo.org/104.131.110.75","443","INFO","TLS_AES_128_GCM_SHA256 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_256_GCM_SHA384","",""
"FS","demo.defectdojo.org/104.131.110.75","443","OK","offered","",""
"FS_ciphers","demo.defectdojo.org/104.131.110.75","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","demo.defectdojo.org/104.131.110.75","443","OK","prime256v1 X25519","",""
