PROFILE,ACCOUNT_NUM,REGION,TITLE_ID,RESULT,SCORED,LEVEL,TITLE_TEXT,NOTES,COMPLIANCE,SEVERITY,SERVICENAME,
default,123456789012,eu-west-1,0.0,INFO,Not Scored,Support,Show report generation info,ARN: arn:aws:iam::430150006394:user/dams  TIMESTAMP: 2021-01-31T18:34:14+0000,,,,
default,123456789012,eu-west-1,1.1,FAIL,Scored,Level 1,[check11] Avoid the use of the root account (Scored),Root user in the account was last accessed 1 day ago,Software and Configuration Checks,High,iam,
default,123456789012,eu-west-1,1.2,PASS,Scored,Level 1,[check12] Ensure multi-factor authentication (MFA) is enabled for all IAM users that have a console password (Scored),No users found with Password enabled and MFA disabled,ens-op.acc.5.aws.iam.1,High,iam,
default,123456789012,eu-west-1,1.3,PASS,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),No users found with password enabled,ens-op.acc.1.aws.iam.3 ens-op.acc.5.aws.iam.4,Medium,iam,
default,123456789012,eu-west-1,1.3,FAIL,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User dams has never used access key 1 since creation and not rotated it in the past 90 days,ens-op.acc.1.aws.iam.3 ens-op.acc.5.aws.iam.4,Medium,iam,
default,123456789012,eu-west-1,1.3,FAIL,Scored,Level 1,[check13] Ensure credentials unused for 90 days or greater are disabled (Scored),User dams has not used access key 2 in the past 90 days,ens-op.acc.1.aws.iam.3 ens-op.acc.5.aws.iam.4,Medium,iam,
default,123456789012,eu-west-1,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored),dams has not rotated access key 1 in over 90 days,ens-op.acc.1.aws.iam.4 ens-op.acc.5.aws.iam.3,Medium,iam,
default,123456789012,eu-west-1,1.4,FAIL,Scored,Level 1,[check14] Ensure access keys are rotated every 90 days or less (Scored),dams has not rotated access key 2 in over 90 days,ens-op.acc.1.aws.iam.4 ens-op.acc.5.aws.iam.3,Medium,iam,
default,123456789012,eu-west-1,1.5,FAIL,Scored,Level 1,[check15] Ensure IAM password policy requires at least one uppercase letter (Scored),Password Policy missing upper-case requirement,Software and Configuration Checks,Medium,iam,
default,123456789012,eu-west-1,1.6,FAIL,Scored,Level 1,[check16] Ensure IAM password policy require at least one lowercase letter (Scored),Password Policy missing lower-case requirement,Software and Configuration Checks,Medium,iam,
