Project id,Version id,Channel version id,Project name,Version,Channel version origin,Channel version origin id,Channel version origin name,Vulnerability id,Description,Published on,Updated on,Base score,Exploitability,Impact,Vulnerability source,Remediation status,Remediation target date,Remediation actual date,Remediation comment,URL,Security Risk
b75f622a-30da-46e4-a9c9-56f4ab75e22e,e9f2dc4a-3c88-43c2-bfb3-d139d8e63979,d0fe3fcd-e6f9-4605-b991-06ceb48cfa6b,Apache Commons BeanUtils,1.8.3,maven,commons-beanutils:commons-beanutils:1.8.3,1.8.3,106409,Commons BeanUtils contains a flaw that is due to it failing to restrict the setting of Class Loader attributes via the class attribute of an ActionForm object. This may allow a remote attacker to manipulate the loaded Classloader and execute arbitrary code.,4/29/14,11/26/18,7.5,10.0,6.4,VULNDB,NEW,,,,,HIGH
db59e2b1-0f14-4912-92bb-6a41dfd5f6e0,2fd1ba2f-8258-4409-99a2-10e205ad4659,c7c5a43e-9d03-4502-bb6e-4355aaaf6519,Apache Commons CLI,1.2,maven,commons-cli:commons-cli:1.2,1.2,90804,"Apache Commons is prone to a flaw in the way it loads CLI paths. The program uses a fixed path to look for specific files or libraries. This path includes directories that may not be trusted or under user control. By placing a custom version of the file or library in the path, the program will load it before the legitimate version. This allows a local attacker to inject custom code that will be run with the privilege of the program or user executing the program.     This attack can be leveraged remotely in some cases by placing the malicious file or library on a network share or extracted archive downloaded from a remote source. This can be done by tricking a user into opening an unspecified file from the local file system or a USB drive in some cases. This attack scenario is certainly possible, but rare.",3/4/13,1/20/15,6.9,3.4,10.0,VULNDB,NEW,,,,,MEDIUM
a0b73420-4945-4696-b8ca-1604a72022d0,9f36d9ab-27ee-4f6a-9bdf-bab1ccccf5ff,16efe0a4-eae2-4ab9-82b0-095c8d4e550c,Apache Commons Digester,2.1,maven,commons-digester:commons-digester:2.1,2.1,106409,Commons BeanUtils contains a flaw that is due to it failing to restrict the setting of Class Loader attributes via the class attribute of an ActionForm object. This may allow a remote attacker to manipulate the loaded Classloader and execute arbitrary code.,4/29/14,11/26/18,7.5,10.0,6.4,VULNDB,NEW,,,,,HIGH
98376823-03f1-4da1-b5b5-62b1af58501b,9acb43d9-a174-4b8f-8a01-ab7fb3c0c5c1,4962ab24-ca45-4208-907d-e7885eca79ba,Apache Commons Net,3.5,maven,commons-net:commons-net:3.5,3.5,171100,Apache Commons Net contains a flaw in the changeWorkingDirectory() function in ftpClient.java that is triggered as user-supplied input is not properly sanitized. This may allow a remote attacker to use a newline character in a specially crafted string to execute arbitrary commands.,12/18/17,12/18/17,10.0,10.0,10.0,VULNDB,NEW,,,,,HIGH
aa50bd26-e494-4ec9-a34e-0c501ce68bdc,c0482fb6-84ef-4f1c-9d0a-8d505aba3f4c,31cd2720-8955-4cf1-b47c-445740b0a40a,Apache HttpComponents Client,4.5.2,maven,org.apache.httpcomponents:httpclient:4.5.2,4.5.2,150620,"Apache HttpComponents HttpClient contains a flaw that is triggered when using URIBuilder's constructor with a malformed setHost call path argument. This may allow a remote attacker to supply arguments to a process running against the library, potentially allowing the attacker to e.g. gain unauthorized access to protected areas.",1/19/17,2/1/17,5.0,10.0,2.9,VULNDB,NEW,,,,,MEDIUM
73ebe05c-0a41-4407-89b2-3ff618f19a10,209a5640-c697-49a5-a37e-9483eb687e35,2e62105a-e4b4-4585-9098-0e7233e7e67b,Apache Maven 2,3.1.0,maven,org.apache.maven:maven-core:3.1.0,3.1.0,CVE-2016-5005,Cross-site scripting (XSS) vulnerability in Apache Archiva 1.3.9 and earlier allows remote authenticated administrators to inject arbitrary web script or HTML via the connector.sourceRepoId parameter to admin/addProxyConnector_commit.action.,7/29/16,4/16/19,3.5,6.8,2.9,NVD,NEW,,,,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2016-5005,LOW
73ebe05c-0a41-4407-89b2-3ff618f19a10,209a5640-c697-49a5-a37e-9483eb687e35,2e62105a-e4b4-4585-9098-0e7233e7e67b,Apache Maven 2,3.1.0,maven,org.apache.maven:maven-core:3.1.0,3.1.0,CVE-2016-4469,"Multiple cross-site request forgery (CSRF) vulnerabilities in Apache Archiva 1.3.9 and earlier allow remote attackers to hijack the authentication of administrators for requests that (1) add new repository proxy connectors via the token parameter to admin/addProxyConnector_commit.action, (2) new repositories via the token parameter to admin/addRepository_commit.action, (3) edit existing repositories via the token parameter to admin/editRepository_commit.action, (4) add legacy artifact paths via the token parameter to admin/addLegacyArtifactPath_commit.action, (5) change the organizational appearance via the token parameter to admin/saveAppearance.action, or (6) upload new artifacts via the token parameter to upload_submit.action.",7/29/16,4/16/19,6.8,8.6,6.4,NVD,NEW,,,,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2016-4469,MEDIUM
73ebe05c-0a41-4407-89b2-3ff618f19a10,209a5640-c697-49a5-a37e-9483eb687e35,2e62105a-e4b4-4585-9098-0e7233e7e67b,Apache Maven 2,3.1.0,maven,org.apache.maven:maven-core:3.1.0,3.1.0,CVE-2017-5657,"Several REST service endpoints of Apache Archiva are not protected against Cross Site Request Forgery (CSRF) attacks. A malicious site opened in the same browser as the archiva site, may send an HTML response that performs arbitrary actions on archiva services, with the same rights as the active archiva session (e.g. administrator rights).",6/1/17,4/16/19,6.0,6.8,6.4,NVD,NEW,,,,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2017-5657,MEDIUM
edb9acd7-6744-401c-a620-32b38bce56b2,0ed0e659-f1a1-4f67-9c67-a0b2e893a641,6c99e603-36f5-41d7-b0fc-71213d1e1803,Apache Tomcat,5.5.23,maven,tomcat:tomcat-apr:5.5.23,5.5.23,CVE-2007-2449,"Multiple cross-site scripting (XSS) vulnerabilities in certain JSP files in the examples web application in Apache Tomcat 4.0.0 through 4.0.6, 4.1.0 through 4.1.36, 5.0.0 through 5.0.30, 5.5.0 through 5.5.24, and 6.0.0 through 6.0.13 allow remote attackers to inject arbitrary web script or HTML via the portion of the URI after the ';' character, as demonstrated by a URI containing a ""snp/snoop.jsp;"" sequence.",6/15/07,3/25/19,4.3,8.6,2.9,NVD,NEW,,,,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2007-2449,MEDIUM
edb9acd7-6744-401c-a620-32b38bce56b2,0ed0e659-f1a1-4f67-9c67-a0b2e893a641,6c99e603-36f5-41d7-b0fc-71213d1e1803,Apache Tomcat,5.5.23,maven,tomcat:tomcat-apr:5.5.23,5.5.23,CVE-2007-2450,"Multiple cross-site scripting (XSS) vulnerabilities in the (1) Manager and (2) Host Manager web applications in Apache Tomcat 4.0.0 through 4.0.6, 4.1.0 through 4.1.36, 5.0.0 through 5.0.30, 5.5.0 through 5.5.24, and 6.0.0 through 6.0.13 allow remote authenticated users to inject arbitrary web script or HTML via a parameter name to manager/html/upload, and other unspecified vectors.",6/18/07,3/25/19,3.5,6.8,2.9,NVD,NEW,,,,http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2007-2450,LOW
