Vulnerability Name,Vulnerability ID,Category,Rule Name,Severity,Status,Number of Events,First Seen,Last Seen,Application Name,Application ID,Application Code,CWE ID,Request Method,Request Port,Request Protocol,Request Version,Request URI,Request Qs,Request Body
Forms Without Autocomplete Prevention on 2 pages,OMEC-Y0TI-FRLE-FJQQ,Caching,autocomplete-missing,Note,Reported,0,1524492848645,1524579600000,WebgoatMaster,ef60f389-35c6-40b4-9cb9-fc2205963208,,http://cwe.mitre.org/data/definitions/522.html,GET,0,http,1.0,/WebGoat/login.mvc,,
Pages Without Anti-Clickjacking Controls on 10 pages,HRZD-PAZ3-76A9-6QVP,Authentication,clickjacking-control-missing,Note,Reported,0,1524492848786,1524579600000,WebgoatMaster,ef60f389-35c6-40b4-9cb9-fc2205963208,,http://cwe.mitre.org/data/definitions/693.html,GET,0,http,1.0,/WebGoat/login.mvc,,
"Log Injection from ""Screen"" Parameter, ""menu"" Parameter, Parameter Name on ""/WebGoat/attack"" page",SDCV-LCMC-70XA-UYDO,Injection,log-injection,Note,Reported,21,1524493509645,1524579600000,WebgoatMaster,ef60f389-35c6-40b4-9cb9-fc2205963208,,http://cwe.mitre.org/data/definitions/93.html,GET,0,http,1.0,/WebGoat/attack,Screen=360466308&menu=5,
Anti-Caching Controls Missing on 4 pages,35D7-1ULS-PLQA-4F2B,Caching,cache-controls-missing,Note,Reported,0,1524493509864,1524579600000,WebgoatMaster,ef60f389-35c6-40b4-9cb9-fc2205963208,,http://cwe.mitre.org/data/definitions/525.html,GET,0,http,1.0,/WebGoat/attack,Screen=360466308&menu=5,
"Log Injection from ""SUBMIT"" Parameter, ""Screen"" Parameter, ""menu"" Parameter and 2 Other Sources on ""/WebGoat/attack"" page",4OWK-SMBR-UH71-QB27,Injection,log-injection,Note,Reported,35,1524493616261,1524579600000,WebgoatMaster,ef60f389-35c6-40b4-9cb9-fc2205963208,,http://cwe.mitre.org/data/definitions/93.html,POST,0,http,1.0,/WebGoat/attack,Screen=1869022003&menu=100,person=test&SUBMIT=Go!
"Cross-Site Scripting from ""lastName"" Parameter on ""/WebGoat/attack"" page (ViewProfile.jsp, line 26)",2RBF-RTQ0-M42V-8N7I,XSS,reflected-xss,High,Reported,2,1524515492560,1524579600000,WebgoatMaster,ef60f389-35c6-40b4-9cb9-fc2205963208,,http://cwe.mitre.org/data/definitions/79.html,POST,0,http,1.0,/WebGoat/attack,Screen=611366032&menu=900&stage=1,firstName=Jerry&lastName=Mouse&address1=3011+Unix+Drive&address2=New+York%2C+NY&phoneNumber=443-699-3366&startDate=1011999&ssn=858-55-4452&salary=70000&ccn=6981754825013564&ccnLimit=20000&description=Co-Owner....&manager=101&disciplinaryNotes=NA&disciplinaryDate=2&employee_id=106&title=Human+Resources&action=UpdateProfile
"Cross-Site Scripting from ""firstName"" Parameter on ""/WebGoat/attack"" page (ViewProfile.jsp, line 20)",RXX8-1JEE-CERJ-DT3T,XSS,reflected-xss,High,Reported,2,1524515492500,1524579600000,WebgoatMaster,ef60f389-35c6-40b4-9cb9-fc2205963208,,http://cwe.mitre.org/data/definitions/79.html,POST,0,http,1.0,/WebGoat/attack,Screen=611366032&menu=900&stage=1,firstName=Jerry&lastName=Mouse&address1=3011+Unix+Drive&address2=New+York%2C+NY&phoneNumber=443-699-3366&startDate=1011999&ssn=858-55-4452&salary=70000&ccn=6981754825013564&ccnLimit=20000&description=Co-Owner....&manager=101&disciplinaryNotes=NA&disciplinaryDate=2&employee_id=106&title=Human+Resources&action=UpdateProfile
"Cross-Site Scripting from ""address2"" Parameter on ""/WebGoat/attack"" page (ViewProfile.jsp, line 40)",5TPL-FYKG-IDSS-XXNG,XSS,reflected-xss,High,Reported,2,1524515492655,1524579600000,WebgoatMaster,ef60f389-35c6-40b4-9cb9-fc2205963208,,http://cwe.mitre.org/data/definitions/79.html,POST,0,http,1.0,/WebGoat/attack,Screen=611366032&menu=900&stage=1,firstName=Jerry&lastName=Mouse&address1=3011+Unix+Drive&address2=New+York%2C+NY&phoneNumber=443-699-3366&startDate=1011999&ssn=858-55-4452&salary=70000&ccn=6981754825013564&ccnLimit=20000&description=Co-Owner....&manager=101&disciplinaryNotes=NA&disciplinaryDate=2&employee_id=106&title=Human+Resources&action=UpdateProfile
"Cross-Site Scripting from ""address1"" Parameter on ""/WebGoat/attack"" page (ViewProfile.jsp, line 35)",3TKC-6PI9-51EO-HNN5,XSS,reflected-xss,High,Reported,2,1524515492588,1524579600000,WebgoatMaster,ef60f389-35c6-40b4-9cb9-fc2205963208,,http://cwe.mitre.org/data/definitions/79.html,POST,0,http,1.0,/WebGoat/attack,Screen=611366032&menu=900&stage=1,firstName=Jerry&lastName=Mouse&address1=3011+Unix+Drive&address2=New+York%2C+NY&phoneNumber=443-699-3366&startDate=1011999&ssn=858-55-4452&salary=70000&ccn=6981754825013564&ccnLimit=20000&description=Co-Owner....&manager=101&disciplinaryNotes=NA&disciplinaryDate=2&employee_id=106&title=Human+Resources&action=UpdateProfile
"Cross-Site Scripting from ""startDate"" Parameter on ""/WebGoat/attack"" page (ViewProfile.jsp, line 53)",1D9P-2BE1-U1PN-YCVX,XSS,reflected-xss,High,Reported,2,1524515492756,1524579600000,WebgoatMaster,ef60f389-35c6-40b4-9cb9-fc2205963208,,http://cwe.mitre.org/data/definitions/79.html,POST,0,http,1.0,/WebGoat/attack,Screen=611366032&menu=900&stage=1,firstName=Jerry&lastName=Mouse&address1=3011+Unix+Drive&address2=New+York%2C+NY&phoneNumber=443-699-3366&startDate=1011999&ssn=858-55-4452&salary=70000&ccn=6981754825013564&ccnLimit=20000&description=Co-Owner....&manager=101&disciplinaryNotes=NA&disciplinaryDate=2&employee_id=106&title=Human+Resources&action=UpdateProfile
