Rule code,Rule,Priority,CWE,Software characteristic,Vulnerability type,Language,Effort,File,Line number,Line text,Source file,Source line number,Source line text,Muted,Normative,Status,CWE Scope,Framework
OPT.JAVA.SEC_JAVA.XPathInjectionRule,Improper Neutralization of Data within XPath Expressions ('XPath Injection'),Very High,643,Security,Injection,Java,30m,xpath-injection/src/main/java/org/owasp/webgoat/plugin/XPATHInjection.java,144,"nodes = (NodeList) xPath.evaluate(expression, inputSource, XPathConstants.NODESET);",xpath-injection/src/main/java/org/owasp/webgoat/plugin/XPATHInjection.java,130,"password = s.getParser().getRawParameter(PASSWORD, """")",No,"CERT-J:IDS53-J,CWE:643,OWASP:2013:A1,OWASP:2013:A5,PCI-DSS:6.5.1,WASC:39",none,"CWEScope:Access-Control,CWEScope:Confidentiality",
OPT.JAVA.SEC_JAVA.XmlEntityInjectionRule,XML entity injection,Very High,611,Security,Injection,Java,30m,ws-sax-injection/src/main/java/org/owasp/webgoat/plugin/WsSAXInjection.java,164,reader.parse(new InputSource(new StringReader(xml)));,ws-sax-injection/src/main/java/org/owasp/webgoat/plugin/WsSAXInjection.java,157,String xml,No,"CERT-J:IDS16-J,CERT-J:IDS17-J,CWE:611,CWE:776,OWASP:2013:A1,OWASP:2013:A5,OWASP:2017:A4,PCI-DSS:6.5.1,WASC:43,WASC:44",none,"CWEScope:Availability,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.JAVA.SEC_JAVA.UnsafeReflection,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),Very High,470,Security,Injection,Java,30m,blind-script/src/main/java/org/owasp/webgoat/plugin/BlindScript.java,280,"            Method meth = cls.getMethod(method, parameterType);",blind-script/src/main/java/org/owasp/webgoat/plugin/BlindScript.java,125,"method = s.getParser().getStringParameter(METHOD, """")",No,"CERT-J:SEC05-J,CWE:470,OWASP:2013:A4,PCI-DSS:6.5.8,WASC:20",none,"CWEScope:Availability,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.JAVA.SEC_JAVA.SqlInjectionRule,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Very High,564,Security,Injection,Java,30m,blind-numeric-sql-injection/src/main/java/org/owasp/webgoat/plugin/BlindNumericSqlInjection.java,112,results = statement.executeQuery(query),blind-numeric-sql-injection/src/main/java/org/owasp/webgoat/plugin/BlindNumericSqlInjection.java,78,"accountNumber = s.getParser().getRawParameter(ACCT_NUM, ""101"")",No,"CERT-J:IDS00-J,CWE:564,CWE:89,OWASP:2013:A1,OWASP:2013:A5,OWASP:2013:A6,OWASP:2017:A1,PCI-DSS:6.5.1,SANS25:2010:2,SANS25:2011:1,WASC:19",none,"CWEScope:Access-Control,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.JAVA.SEC_JAVA.SqlInjectionRule,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Very High,564,Security,Injection,Java,30m,blind-string-sql-injection/src/main/java/org/owasp/webgoat/plugin/BlindStringSqlInjection.java,112,results = statement.executeQuery(query),blind-string-sql-injection/src/main/java/org/owasp/webgoat/plugin/BlindStringSqlInjection.java,78,"accountNumber = s.getParser().getRawParameter(ACCT_NUM, ""101"")",No,"CERT-J:IDS00-J,CWE:564,CWE:89,OWASP:2013:A1,OWASP:2013:A5,OWASP:2013:A6,OWASP:2017:A1,PCI-DSS:6.5.1,SANS25:2010:2,SANS25:2011:1,WASC:19",none,"CWEScope:Access-Control,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.JAVA.SEC_JAVA.SqlInjectionRule,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Very High,564,Security,Injection,Java,30m,cross-site-scripting/src/main/java/org/owasp/webgoat/plugin/crosssitescripting/UpdateProfileCrossSiteScripting.java,280,ps = WebSession.getConnection(s).prepareStatement(query),webgoat-container/src/main/java/org/owasp/webgoat/session/DatabaseUtilities.java,63,"		return getConnection(s.getUserName(), s.getWebgoatContext());",No,"CERT-J:IDS00-J,CWE:564,CWE:89,OWASP:2013:A1,OWASP:2013:A5,OWASP:2013:A6,OWASP:2017:A1,PCI-DSS:6.5.1,SANS25:2010:2,SANS25:2011:1,WASC:19",none,"CWEScope:Access-Control,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.JAVA.SEC_JAVA.SqlInjectionRule,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Very High,564,Security,Injection,Java,30m,cross-site-scripting/src/main/java/org/owasp/webgoat/plugin/crosssitescripting/UpdateProfileCrossSiteScripting.java,322,ps = WebSession.getConnection(s).prepareStatement(query),webgoat-container/src/main/java/org/owasp/webgoat/session/DatabaseUtilities.java,63,"		return getConnection(s.getUserName(), s.getWebgoatContext());",No,"CERT-J:IDS00-J,CWE:564,CWE:89,OWASP:2013:A1,OWASP:2013:A5,OWASP:2013:A6,OWASP:2017:A1,PCI-DSS:6.5.1,SANS25:2010:2,SANS25:2011:1,WASC:19",none,"CWEScope:Access-Control,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.JAVA.SEC_JAVA.SqlInjectionRule,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Very High,564,Security,Injection,Java,30m,db-cross-site-scripting/src/main/java/org/owasp/webgoat/plugin/db_cross_site/UpdateProfileDBCrossSiteScripting.java,178,ps = WebSession.getConnection(s).prepareStatement(query),webgoat-container/src/main/java/org/owasp/webgoat/session/DatabaseUtilities.java,63,"		return getConnection(s.getUserName(), s.getWebgoatContext());",No,"CERT-J:IDS00-J,CWE:564,CWE:89,OWASP:2013:A1,OWASP:2013:A5,OWASP:2013:A6,OWASP:2017:A1,PCI-DSS:6.5.1,SANS25:2010:2,SANS25:2011:1,WASC:19",none,"CWEScope:Access-Control,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.JAVA.SEC_JAVA.SqlInjectionRule,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Very High,564,Security,Injection,Java,30m,dos-login/src/main/java/org/owasp/webgoat/plugin/DOS_Login.java,108,results = statement.executeQuery(query),dos-login/src/main/java/org/owasp/webgoat/plugin/DOS_Login.java,88,password = s.getParser().getRawParameter(PASSWORD);,No,"CERT-J:IDS00-J,CWE:564,CWE:89,OWASP:2013:A1,OWASP:2013:A5,OWASP:2013:A6,OWASP:2017:A1,PCI-DSS:6.5.1,SANS25:2010:2,SANS25:2011:1,WASC:19",none,"CWEScope:Access-Control,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.JAVA.SEC_JAVA.SqlInjectionRule,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Very High,564,Security,Injection,Java,30m,dos-login/src/main/java/org/owasp/webgoat/plugin/DOS_Login.java,124,statement.executeUpdate(insertData1);,dos-login/src/main/java/org/owasp/webgoat/plugin/DOS_Login.java,123,"insertData1 = ""INSERT INTO user_login VALUES ( '"" + username + ""', '""
                                    + s.getUserName() + ""' )""",No,"CERT-J:IDS00-J,CWE:564,CWE:89,OWASP:2013:A1,OWASP:2013:A5,OWASP:2013:A6,OWASP:2017:A1,PCI-DSS:6.5.1,SANS25:2010:2,SANS25:2011:1,WASC:19",none,"CWEScope:Access-Control,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.JAVA.SEC_JAVA.SqlInjectionRule,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Very High,564,Security,Injection,Java,30m,dos-login/src/main/java/org/owasp/webgoat/plugin/DOS_Login.java,128,results = statement.executeQuery(query);,dos-login/src/main/java/org/owasp/webgoat/plugin/DOS_Login.java,127,"query = ""SELECT * FROM user_login WHERE webgoat_user = '"" + s.getUserName() + ""'"";",No,"CERT-J:IDS00-J,CWE:564,CWE:89,OWASP:2013:A1,OWASP:2013:A5,OWASP:2013:A6,OWASP:2017:A1,PCI-DSS:6.5.1,SANS25:2010:2,SANS25:2011:1,WASC:19",none,"CWEScope:Access-Control,CWEScope:Confidentiality,CWEScope:Integrity",
OPT.JAVA.SEC_JAVA.SqlInjectionRule,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Very High,564,Security,Injection,Java,30m,dos-login/src/main/java/org/owasp/webgoat/plugin/DOS_Login.java,136,statement.executeUpdate(deleteData1);,dos-login/src/main/java/org/owasp/webgoat/plugin/DOS_Login.java,134,"deleteData1 = ""DELETE from user_login WHERE webgoat_user = '"" + s.getUserName()
                                    + ""'""",No,"CERT-J:IDS00-J,CWE:564,CWE:89,OWASP:2013:A1,OWASP:2013:A5,OWASP:2013:A6,OWASP:2017:A1,PCI-DSS:6.5.1,SANS25:2010:2,SANS25:2011:1,WASC:19",none,"CWEScope:Access-Control,CWEScope:Confidentiality,CWEScope:Integrity",
