IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
45.33.32.156,,,,7.5,High,75,"","CVE-2021-26690","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2021-26690.
The product was found at: 80/tcp.

Apache HTTP Server versions 2.4.0 to 2.4.46 A specially crafted Cookie header handled by mod_session can cause a NULL pointer dereference and crash, leading to a possible Denial Of Service","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2021-26690.
The product was found at: 80/tcp.

Apache HTTP Server versions 2.4.0 to 2.4.46 A specially crafted Cookie header handled by mod_session can cause a NULL pointer dereference and crash, leading to a possible Denial Of Service",CVE-2021-26690,"",66a054bf-8424-41e2-be14-728528d3a626,"Scan Suspect Host 45.33.32.156",2024-03-18T21:29:42Z,fa492e13-5e42-4a27-8b11-d07ff5281b7f,"","","","","
Details:
CVE-2021-26690
(OID: CVE-2021-26690)
Version used: 2023-11-07T03:31:00Z
","Product: cpe:/a:apache:http_server:2.4.7
Method: CVE-2021-26690
(OID: CVE-2021-26690)
","","",""
45.33.32.156,,,,9.8,High,75,"","CVE-2021-26691","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2021-26691.
The product was found at: 80/tcp.

In Apache HTTP Server versions 2.4.0 to 2.4.46 a specially crafted SessionHeader sent by an origin server could cause a heap overflow","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2021-26691.
The product was found at: 80/tcp.

In Apache HTTP Server versions 2.4.0 to 2.4.46 a specially crafted SessionHeader sent by an origin server could cause a heap overflow",CVE-2021-26691,"",66a054bf-8424-41e2-be14-728528d3a626,"Scan Suspect Host 45.33.32.156",2024-03-18T21:29:42Z,e2dd85dc-7c75-46ff-87cf-0dbda94ac29d,"","","","","
Details:
CVE-2021-26691
(OID: CVE-2021-26691)
Version used: 2023-11-07T03:31:00Z
","Product: cpe:/a:apache:http_server:2.4.7
Method: CVE-2021-26691
(OID: CVE-2021-26691)
","","",""
45.33.32.156,,,,5.0,Medium,75,"","CVE-2014-3523","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2014-3523.
The product was found at: 80/tcp.

Memory leak in the winnt_accept function in server/mpm/winnt/child.c in the WinNT MPM in the Apache HTTP Server 2.4.x before 2.4.10 on Windows, when the default AcceptFilter is enabled, allows remote attackers to cause a denial of service (memory consumption) via crafted requests.","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2014-3523.
The product was found at: 80/tcp.

Memory leak in the winnt_accept function in server/mpm/winnt/child.c in the WinNT MPM in the Apache HTTP Server 2.4.x before 2.4.10 on Windows, when the default AcceptFilter is enabled, allows remote attackers to cause a denial of service (memory consumption) via crafted requests.",CVE-2014-3523,"",66a054bf-8424-41e2-be14-728528d3a626,"Scan Suspect Host 45.33.32.156",2024-03-18T21:29:42Z,b0425448-bbfb-4bb0-ac86-78d3a832f231,"","","","","
Details:
CVE-2014-3523
(OID: CVE-2014-3523)
Version used: 2023-11-07T02:20:00Z
","Product: cpe:/a:apache:http_server:2.4.7
Method: CVE-2014-3523
(OID: CVE-2014-3523)
","","",""
45.33.32.156,,,,5.0,Medium,75,"","CVE-2014-3581","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2014-3581.
The product was found at: 80/tcp.

The cache_merge_headers_out function in modules/cache/cache_util.c in the mod_cache module in the Apache HTTP Server before 2.4.11 allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via an empty HTTP Content-Type header.","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2014-3581.
The product was found at: 80/tcp.

The cache_merge_headers_out function in modules/cache/cache_util.c in the mod_cache module in the Apache HTTP Server before 2.4.11 allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via an empty HTTP Content-Type header.",CVE-2014-3581,"",66a054bf-8424-41e2-be14-728528d3a626,"Scan Suspect Host 45.33.32.156",2024-03-18T21:29:42Z,8ffa27d6-91bc-4365-8142-08f4d28d1bc2,"","","","","
Details:
CVE-2014-3581
(OID: CVE-2014-3581)
Version used: 2023-11-07T02:20:00Z
","Product: cpe:/a:apache:http_server:2.4.7
Method: CVE-2014-3581
(OID: CVE-2014-3581)
","","",""
45.33.32.156,,,,4.3,Medium,75,"","CVE-2014-0117","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2014-0117.
The product was found at: 80/tcp.

The mod_proxy module in the Apache HTTP Server 2.4.x before 2.4.10, when a reverse proxy is enabled, allows remote attackers to cause a denial of service (child-process crash) via a crafted HTTP Connection header.","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2014-0117.
The product was found at: 80/tcp.

The mod_proxy module in the Apache HTTP Server 2.4.x before 2.4.10, when a reverse proxy is enabled, allows remote attackers to cause a denial of service (child-process crash) via a crafted HTTP Connection header.",CVE-2014-0117,"",66a054bf-8424-41e2-be14-728528d3a626,"Scan Suspect Host 45.33.32.156",2024-03-18T21:29:42Z,53b0ddf3-dd9e-4dcb-a7bd-ec7b1da7fd0b,"","","","","
Details:
CVE-2014-0117
(OID: CVE-2014-0117)
Version used: 2023-11-07T02:18:00Z
","Product: cpe:/a:apache:http_server:2.4.7
Method: CVE-2014-0117
(OID: CVE-2014-0117)
","","",""
45.33.32.156,,,,5.0,Medium,75,"","CVE-2014-0098","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2014-0098.
The product was found at: 80/tcp.

The log_cookie function in mod_log_config.c in the mod_log_config module in the Apache HTTP Server before 2.4.8 allows remote attackers to cause a denial of service (segmentation fault and daemon crash) via a crafted cookie that is not properly handled during truncation.","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2014-0098.
The product was found at: 80/tcp.

The log_cookie function in mod_log_config.c in the mod_log_config module in the Apache HTTP Server before 2.4.8 allows remote attackers to cause a denial of service (segmentation fault and daemon crash) via a crafted cookie that is not properly handled during truncation.",CVE-2014-0098,"",66a054bf-8424-41e2-be14-728528d3a626,"Scan Suspect Host 45.33.32.156",2024-03-18T21:29:42Z,1a1077d7-6ff0-44df-b631-6cf766a2f298,"","","","","
Details:
CVE-2014-0098
(OID: CVE-2014-0098)
Version used: 2023-11-07T02:18:00Z
","Product: cpe:/a:apache:http_server:2.4.7
Method: CVE-2014-0098
(OID: CVE-2014-0098)
","","",""
45.33.32.156,,,,4.3,Medium,75,"","CVE-2014-0118","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2014-0118.
The product was found at: 80/tcp.

The deflate_in_filter function in mod_deflate.c in the mod_deflate module in the Apache HTTP Server before 2.4.10, when request body decompression is enabled, allows remote attackers to cause a denial of service (resource consumption) via crafted request data that decompresses to a much larger size.","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2014-0118.
The product was found at: 80/tcp.

The deflate_in_filter function in mod_deflate.c in the mod_deflate module in the Apache HTTP Server before 2.4.10, when request body decompression is enabled, allows remote attackers to cause a denial of service (resource consumption) via crafted request data that decompresses to a much larger size.",CVE-2014-0118,"",66a054bf-8424-41e2-be14-728528d3a626,"Scan Suspect Host 45.33.32.156",2024-03-18T21:29:42Z,4b914f10-f16f-4f97-bd43-659e255b8d5b,"","","","","
Details:
CVE-2014-0118
(OID: CVE-2014-0118)
Version used: 2023-11-07T02:18:00Z
","Product: cpe:/a:apache:http_server:2.4.7
Method: CVE-2014-0118
(OID: CVE-2014-0118)
","","",""
45.33.32.156,,,,6.8,Medium,75,"","CVE-2014-0226","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2014-0226.
The product was found at: 80/tcp.

Race condition in the mod_status module in the Apache HTTP Server before 2.4.10 allows remote attackers to cause a denial of service (heap-based buffer overflow), or possibly obtain sensitive credential information or execute arbitrary code, via a crafted request that triggers improper scoreboard handling within the status_handler function in modules/generators/mod_status.c and the lua_ap_scoreboard_worker function in modules/lua/lua_request.c.","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2014-0226.
The product was found at: 80/tcp.

Race condition in the mod_status module in the Apache HTTP Server before 2.4.10 allows remote attackers to cause a denial of service (heap-based buffer overflow), or possibly obtain sensitive credential information or execute arbitrary code, via a crafted request that triggers improper scoreboard handling within the status_handler function in modules/generators/mod_status.c and the lua_ap_scoreboard_worker function in modules/lua/lua_request.c.",CVE-2014-0226,"",66a054bf-8424-41e2-be14-728528d3a626,"Scan Suspect Host 45.33.32.156",2024-03-18T21:29:42Z,a9b34772-9fcd-4424-929c-63b6416f87e6,"","","","","
Details:
CVE-2014-0226
(OID: CVE-2014-0226)
Version used: 2023-11-07T02:18:00Z
","Product: cpe:/a:apache:http_server:2.4.7
Method: CVE-2014-0226
(OID: CVE-2014-0226)
","","",""
45.33.32.156,,,,5.0,Medium,75,"","CVE-2014-0231","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2014-0231.
The product was found at: 80/tcp.

The mod_cgid module in the Apache HTTP Server before 2.4.10 does not have a timeout mechanism, which allows remote attackers to cause a denial of service (process hang) via a request to a CGI script that does not read from its stdin file descriptor.","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2014-0231.
The product was found at: 80/tcp.

The mod_cgid module in the Apache HTTP Server before 2.4.10 does not have a timeout mechanism, which allows remote attackers to cause a denial of service (process hang) via a request to a CGI script that does not read from its stdin file descriptor.",CVE-2014-0231,"",66a054bf-8424-41e2-be14-728528d3a626,"Scan Suspect Host 45.33.32.156",2024-03-18T21:29:42Z,c4d154a0-fb05-4292-beb3-044e98b4bab2,"","","","","
Details:
CVE-2014-0231
(OID: CVE-2014-0231)
Version used: 2023-11-07T02:18:00Z
","Product: cpe:/a:apache:http_server:2.4.7
Method: CVE-2014-0231
(OID: CVE-2014-0231)
","","",""
45.33.32.156,,,,4.3,Medium,75,"","CVE-2014-8109","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2014-8109.
The product was found at: 80/tcp.

mod_lua.c in the mod_lua module in the Apache HTTP Server 2.3.x and 2.4.x through 2.4.10 does not support an httpd configuration in which the same Lua authorization provider is used with different arguments within different contexts, which allows remote attackers to bypass intended access restrictions in opportunistic circumstances by leveraging multiple Require directives, as demonstrated by a configuration that specifies authorization for one group to access a certain directory, and authorization for a second group to access a second directory.","The host carries the product: cpe:/a:apache:http_server:2.4.7
It is vulnerable according to: CVE-2014-8109.
The product was found at: 80/tcp.

mod_lua.c in the mod_lua module in the Apache HTTP Server 2.3.x and 2.4.x through 2.4.10 does not support an httpd configuration in which the same Lua authorization provider is used with different arguments within different contexts, which allows remote attackers to bypass intended access restrictions in opportunistic circumstances by leveraging multiple Require directives, as demonstrated by a configuration that specifies authorization for one group to access a certain directory, and authorization for a second group to access a second directory.",CVE-2014-8109,"",66a054bf-8424-41e2-be14-728528d3a626,"Scan Suspect Host 45.33.32.156",2024-03-18T21:29:42Z,368cfedc-cce5-478a-ae8f-af6819d3f2b2,"","","","","
Details:
CVE-2014-8109
(OID: CVE-2014-8109)
Version used: 2023-02-13T00:42:00Z
","Product: cpe:/a:apache:http_server:2.4.7
Method: CVE-2014-8109
(OID: CVE-2014-8109)
","","",""
