Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,com.111.cellbridge.sim,/home/ec2-user/SAST-13-11-2020-1605287445/cell-bridge-api/.mvn/wrapper/MavenWrapperDownloader.java,3,21,"All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.",Design,UseUtilityClass
2,com.111.cellbridge.sim,/home/ec2-user/SAST-13-11-2020-1605287445/cell-bridge-api/.mvn/wrapper/MavenWrapperDownloader.java,3,80,These nested if statements could be combined,Design,CollapsibleIfStatements
3,com.111.cellbridge.sim,/home/ec2-user/SAST-13-11-2020-1605287445/cell-bridge-api/.mvn/wrapper/MavenWrapperDownloader.java,3,109,Ensure that resources like this ReadableByteChannel object are closed after use,Error Prone,CloseResource
4,com.111.cellbridge.sim,/home/ec2-user/SAST-13-11-2020-1605287445/cell-bridge-api/.mvn/wrapper/MavenWrapperDownloader.java,3,111,Ensure that resources like this FileOutputStream object are closed after use,Error Prone,CloseResource
1,com.111.cellbridge.sim,/home/ec2-user/SAST-13-11-2020-1605287445/cell-bridge-api/src/main/java/com/111/cellbridge/sim/ActivateSIMParams.java,3,4,"The class 'ActivateSIMParams' is suspected to be a Data Class (WOC=0.000%, NOPA=3, NOAM=3, WMC=5)",Design,DataClass
1,com.111.cellbridge.sim,/home/ec2-user/SAST-13-11-2020-1605287445/cell-bridge-api/src/main/java/com/111/cellbridge/sim/SIMCard.java,3,4,"The class 'SIMCard' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)",Design,DataClass
1,com.111.cellbridge.sim,/home/ec2-user/SAST-13-11-2020-1605287445/cell-bridge-api/src/main/java/com/111/cellbridge/sim/SIMCardDetail.java,3,3,"The class 'SIMCardDetail' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=18, WMC=19)",Design,DataClass
1,com.111.cellbridge.sim,/home/ec2-user/SAST-13-11-2020-1605287445/cell-bridge-api/src/main/java/com/111/cellbridge/sim/SIMOpResult.java,3,6,"The class 'SIMOpResult' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=7, WMC=9)",Design,DataClass
1,com.111.cellbridge.sim.config,/home/ec2-user/SAST-13-11-2020-1605287445/cell-bridge-api/src/main/java/com/111/cellbridge/sim/config/SimApiConfig.java,3,14,Private field 'environment' could be made final; it is only initialized in the declaration or constructor.,Design,ImmutableField
1,com.111.cellbridge.sim.controller,/home/ec2-user/SAST-13-11-2020-1605287445/cell-bridge-api/src/main/java/com/111/cellbridge/sim/controller/SimApiController.java,3,38,Ensure that resources like this InputStream object are closed after use,Error Prone,CloseResource
1,com.111.cellbridge.sim.service,/home/ec2-user/SAST-13-11-2020-1605287445/cell-bridge-api/src/main/java/com/111/cellbridge/sim/service/SimApiService.java,3,18,Private field 'attAdapter' could be made final; it is only initialized in the declaration or constructor.,Design,ImmutableField
1,com.111.cellbridge.sim,/home/ec2-user/SAST-13-11-2020-1605287445/cell-bridge-api/src/test/java/com/111/cellbridge/sim/CellBridgeApiServiceTests.java,3,18,This final field could be made static,Design,FinalFieldCouldBeStatic
2,com.111.cellbridge.sim,/home/ec2-user/SAST-13-11-2020-1605287445/cell-bridge-api/src/test/java/com/111/cellbridge/sim/CellBridgeApiServiceTests.java,3,19,This final field could be made static,Design,FinalFieldCouldBeStatic
3,com.111.cellbridge.sim,/home/ec2-user/SAST-13-11-2020-1605287445/cell-bridge-api/src/test/java/com/111/cellbridge/sim/CellBridgeApiServiceTests.java,3,20,This final field could be made static,Design,FinalFieldCouldBeStatic
4,com.111.cellbridge.sim,/home/ec2-user/SAST-13-11-2020-1605287445/cell-bridge-api/src/test/java/com/111/cellbridge/sim/CellBridgeApiServiceTests.java,3,21,This final field could be made static,Design,FinalFieldCouldBeStatic
1,com.111.cellbridge.sim,/home/ec2-user/SAST-13-11-2020-1605287445/cell-bridge-api/src/test/java/com/111/cellbridge/sim/SimApiControllerTests.java,3,21,This final field could be made static,Design,FinalFieldCouldBeStatic
