"Control ID","Requirement","Result","Criticality","Details","OriginalResult","OriginalDetails","Comments","ResolutionDate","Non-Compliance Reason","Remediation Completion Date","Justification"
"GWS.CALENDAR.2.1v1","External invitations warnings SHALL be enabled to prompt users before sending invitations.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Cool Example Org (group user@example.org): External Sharing Guest Prompt is disabled","Fail","The following OUs are non-compliant:
- Cool Example Org (group user@example.org): External Sharing Guest Prompt is disabled","[]",""," "," ",""
"GWS.COMMONCONTROLS.1.1v1","Phishing-Resistant MFA SHALL be required for all users.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- 2SV Exempt: 2-step verification (2SV) is not enforced.
- Shirley Haas's OU: Allowed 2-step verification (2SV) method is set to ""Any"".
- Walter Johnson's OU: Allowed 2-step verification (2SV) method is set to ""Any except verification codes via text, phone call"".
- Walter Johnson's OU v2: 2-step verification (2SV) is not enforced.
- Cool Example Org: Allowed 2-step verification (2SV) method is set to ""Any"".
- Cool Example Org (group WORKSPACE_ALL_ADMIN_GROUP): 2-step verification (2SV) is not enforced.
- Cool Example Org (group user@example.org): Allowed 2-step verification (2SV) method is set to ""Any"".
- Felicia Freeman's OU (in Shirley Haas's OU): 2-step verification (2SV) is not enforced.
- Michael Marshall's OU: Users cannot enable 2-step verification (2SV).
- Elizabeth Johnson's OU: Allowed 2-step verification (2SV) method is set to ""Any"".","Fail","The following OUs are non-compliant:
- 2SV Exempt: 2-step verification (2SV) is not enforced.
- Francisco Brown's OU: Allowed 2-step verification (2SV) method is set to ""Any"".
- David Smith's OU: Allowed 2-step verification (2SV) method is set to ""Any except verification codes via text, phone call"".
- David Smith's OU v2: 2-step verification (2SV) is not enforced.
- Cool Example Org: Allowed 2-step verification (2SV) method is set to ""Any"".
- Cool Example Org (group WORKSPACE_ALL_ADMIN_GROUP): 2-step verification (2SV) is not enforced.
- Cool Example Org (group user@example.org): Allowed 2-step verification (2SV) method is set to ""Any"".
- Mrs. Jeanette Brown's OU (in Francisco Brown's OU): 2-step verification (2SV) is not enforced.
- Amy Coleman's OU: Users cannot enable 2-step verification (2SV).
- Aaron Everett's OU: Allowed 2-step verification (2SV) method is set to ""Any"".","[]",""," "," ",""
"GWS.COMMONCONTROLS.1.2v1","If phishing-resistant MFA has not been enforced, an alternative MFA method SHALL be enforced for all users.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- 2SV Exempt: 2-step verification (2SV) is not enforced.
- Jordan Cantrell's OU v2: 2-step verification (2SV) is not enforced.
- Cool Example Org (group WORKSPACE_ALL_ADMIN_GROUP): 2-step verification (2SV) is not enforced.
- Jean Jones's OU (in Tanner Norton's OU): 2-step verification (2SV) is not enforced.
- Jacob Dawson's OU: Users cannot enable 2-step verification (2SV).","Fail","The following OUs are non-compliant:
- 2SV Exempt: 2-step verification (2SV) is not enforced.
- Linda Mitchell's OU v2: 2-step verification (2SV) is not enforced.
- Cool Example Org (group WORKSPACE_ALL_ADMIN_GROUP): 2-step verification (2SV) is not enforced.
- Dennis Flores's OU (in Karen Edwards's OU): 2-step verification (2SV) is not enforced.
- Jamie Ross's OU: Users cannot enable 2-step verification (2SV).","[]",""," "," ",""
"GWS.COMMONCONTROLS.1.3v1","SMS or Voice SHALL NOT be used as the MFA method.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- 2SV Exempt: 2-step verification (2SV) is not enforced.
- Deborah Baker's OU: Verification codes via text and phone call allowed.
- Bradley Rodriguez's OU v2: 2-step verification (2SV) is not enforced.
- Cool Example Org: Verification codes via text and phone call allowed.
- Cool Example Org (group WORKSPACE_ALL_ADMIN_GROUP): 2-step verification (2SV) is not enforced.
- Cool Example Org (group user@example.org): Verification codes via text and phone call allowed.
- Marvin Smith's OU (in Deborah Baker's OU): 2-step verification (2SV) is not enforced.
- Kristina Richardson's OU: Users cannot enable 2-step verification (2SV).
- Breanna Villegas's OU: Verification codes via text and phone call allowed.","Fail","The following OUs are non-compliant:
- 2SV Exempt: 2-step verification (2SV) is not enforced.
- Kara Stewart's OU: Verification codes via text and phone call allowed.
- Scott Thomas's OU v2: 2-step verification (2SV) is not enforced.
- Cool Example Org: Verification codes via text and phone call allowed.
- Cool Example Org (group WORKSPACE_ALL_ADMIN_GROUP): 2-step verification (2SV) is not enforced.
- Cool Example Org (group user@example.org): Verification codes via text and phone call allowed.
- Mario Green's OU (in Kara Stewart's OU): 2-step verification (2SV) is not enforced.
- Courtney Lopez's OU: Users cannot enable 2-step verification (2SV).
- Dr. Matthew Steele II's OU: Verification codes via text and phone call allowed.","[]",""," "," ",""
"GWS.COMMONCONTROLS.1.4v1","The Google 2-Step Verification (2SV) new user enrollment period SHALL be set to at least one day and at most one week.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- 2SV Exempt: 2-step verification (2SV) is not enforced.
- Michelle Ferguson's OU: New user enrollment period 180 days (longer than 7 days)
- Deborah Dorsey's OU v2: 2-step verification (2SV) is not enforced.
- Cool Example Org (group WORKSPACE_ALL_ADMIN_GROUP): 2-step verification (2SV) is not enforced.
- Cool Example Org (group user@example.org): New user enrollment period is NONE
- Zachary May's OU (in Michelle Ferguson's OU): 2-step verification (2SV) is not enforced.
- Jennifer Gonzalez's OU: Users cannot enable 2-step verification (2SV).","Fail","The following OUs are non-compliant:
- 2SV Exempt: 2-step verification (2SV) is not enforced.
- Kelly Morgan's OU: New user enrollment period 180 days (longer than 7 days)
- David Lawson's OU v2: 2-step verification (2SV) is not enforced.
- Cool Example Org (group WORKSPACE_ALL_ADMIN_GROUP): 2-step verification (2SV) is not enforced.
- Cool Example Org (group user@example.org): New user enrollment period is NONE
- Christie Martinez's OU (in Kelly Morgan's OU): 2-step verification (2SV) is not enforced.
- Hannah Dillon's OU: Users cannot enable 2-step verification (2SV).","[]",""," "," ",""
"GWS.COMMONCONTROLS.1.5v1","Allow users to trust the device SHALL be disabled.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- 2SV Exempt: 2-step verification (2SV) is not enforced.
- Peter Neal's OU: User is allowed to trust device.
- Donald Solomon's OU: User is allowed to trust device.
- Donald Solomon's OU v2: 2-step verification (2SV) is not enforced.
- Cool Example Org: User is allowed to trust device.
- Cool Example Org (group WORKSPACE_ALL_ADMIN_GROUP): 2-step verification (2SV) is not enforced.
- Cool Example Org (group user@example.org): User is allowed to trust device.
- Jorge Thomas's OU (in Peter Neal's OU): 2-step verification (2SV) is not enforced.
- Craig Miller's OU: Users cannot enable 2-step verification (2SV).
- Dr. Gina Espinoza's OU: User is allowed to trust device.","Fail","The following OUs are non-compliant:
- 2SV Exempt: 2-step verification (2SV) is not enforced.
- James Stone's OU: User is allowed to trust device.
- Michael Brown's OU: User is allowed to trust device.
- Michael Brown's OU v2: 2-step verification (2SV) is not enforced.
- Cool Example Org: User is allowed to trust device.
- Cool Example Org (group WORKSPACE_ALL_ADMIN_GROUP): 2-step verification (2SV) is not enforced.
- Cool Example Org (group user@example.org): User is allowed to trust device.
- Eileen Schmitt's OU (in James Stone's OU): 2-step verification (2SV) is not enforced.
- Nichole Ball DVM's OU: Users cannot enable 2-step verification (2SV).
- Timothy Fitzgerald's OU: User is allowed to trust device.","[]",""," "," ",""
"GWS.COMMONCONTROLS.4.1v1","Users SHALL be forced to re-authenticate after an established 12-hour GWS login session has expired.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Stephanie David's OU: Web session duration: 24 hours
- Tammy Gonzales's OU: Web session duration: 20 hours","Fail","The following OUs are non-compliant:
- Rebecca Olson's OU: Web session duration: 24 hours
- Angela Miller's OU: Web session duration: 20 hours","[]",""," "," ",""
"GWS.COMMONCONTROLS.5.1v1","User password strength SHALL be enforced.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Cool Example Org: Password strength is WEAK, not STRONG","Fail","The following OUs are non-compliant:
- Cool Example Org: Password strength is WEAK, not STRONG","[]",""," "," ",""
"GWS.COMMONCONTROLS.5.2v1","User password length SHALL be at least 12 characters.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- Carl Jacobson's OU: Minimum password length: 8, less than 12","Fail","The following OUs are non-compliant:
- John Rush's OU: Minimum password length: 8, less than 12","[]",""," "," ",""
"GWS.COMMONCONTROLS.5.4v1","Password policy SHALL be enforced at next sign-in.<div class=""badges"">
<span class=""indicator-badge"" style=""background-color: #C41230; color: white;"" title=""Required by CISA BOD 25-01"">BOD 25-01 Requirement</span>
<span class=""indicator-badge"" style=""background-color: #5E9732; color: black;"" title=""Automatically verified by ScubaGoggles"">Automated Check</span></div>","Fail","Shall","The following OUs are non-compliant:
- 2SV Exempt: Enforce password policy at next sign-in is OFF
- Darrell Parrish's OU: Enforce password policy at next sign-in is OFF
- Cool Example Org: Enforce password policy at next sign-in is OFF
- Donna Herrera's OU: Enforce password policy at next sign-in is OFF","Fail","The following OUs are non-compliant:
- 2SV Exempt: Enforce password policy at next sign-in is OFF
- Nicole Quinn's OU: Enforce password policy at next sign-in is OFF
- Cool Example Org: Enforce password policy at next sign-in is OFF
- Jeffrey Mcfarland's OU: Enforce password policy at next sign-in is OFF","[]",""," "," ",""
