title,description,mitigation
"Authentication Verification Requirements : Verify that user set passwords are at least 12 characters in length. (C6)","The product does not require that users should have strong passwords\, which makes it easier for attackers to compromise user accounts. Authentication mechanisms often rely on a memorized secret (also known as a password) to provide an assertion of identity for a user of a system. It is therefore important that this password be of sufficient complexity and impractical for an adversary to guess. The specific requirements around how complex a password needs to be depends on the type of system being protected. Selecting the correct password requirements and enforcing them through implementation are critical to the overall success of the authentication mechanism.","PHASE:Architecture and Design: A product''s design should require adherance to an appropriate password policy. Specific password requirements depend strongly on contextual factors\, but it is recommended to contain the following attributes: Enforcement of a minimum and maximum length Restrictions against password reuse Restrictions against using common passwords Restrictions against using contextual string in the password (e.g.\, user id\, app name) Depending on the threat model\, the password policy may include several additional attributes. Complex passwords requiring mixed character sets (alpha\, numeric\, special\, mixed case) Increasing the range of characters makes the password harder to crack and may be appropriate for systems relying on single factor authentication. Unfortunately\, a complex password may be difficult to memorize\, encouraging a user to select a short password or to incorrectly manage the password (write it down). Another disadvantage of this approach is that it often does not result in a significant increases in overal password complexity due to people''s predictable usage of various symbols. Large Minimum Length (encouraging passphrases instead of passwords) Increasing the number of characters makes the password harder to crack and may be appropriate for systems relying on single factor authentication. A disadvantage of this approach is that selecting a good passphrase is not easy and poor passwords can still be generated. Some prompting may be needed to encourage long unpredictable passwords. Randomly Chosen Secrets Generating a password for the user can help make sure that length and complexity requirements are met\, and can result in secure passwords being used. A disadvantage of this approach is that the resulting password or passpharse may be too difficult to memorize\, encouraging them to be written down. Password Expiration Requiring a periodic password change can reduce the time window that an adversary has to crack a password\, while also limiting the damage caused by password exposures at other locations. Password expiration may be a good mitigating technique when long complex passwords are not desired. See NIST 80063B https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.80063b.pdf Sections: 5.1.1\, 10.2.1\, and Appendix A for further information on password requirements. PHASE:Architecture and Design: Consider a second authentication factor beyond the password\, which prevents the password from being a single point of failure. See CWE308 for further information. PHASE:Implementation: Consider implementing a password complexity meter to inform users when a chosen password meets the required attributes."
"Authentication Verification Requirements : Verify that passwords 64 characters or longer are permitted.","The product does not require that users should have strong passwords\, which makes it easier for attackers to compromise user accounts. Authentication mechanisms often rely on a memorized secret (also known as a password) to provide an assertion of identity for a user of a system. It is therefore important that this password be of sufficient complexity and impractical for an adversary to guess. The specific requirements around how complex a password needs to be depends on the type of system being protected. Selecting the correct password requirements and enforcing them through implementation are critical to the overall success of the authentication mechanism.","PHASE:Architecture and Design: A product''s design should require adherance to an appropriate password policy. Specific password requirements depend strongly on contextual factors\, but it is recommended to contain the following attributes: Enforcement of a minimum and maximum length Restrictions against password reuse Restrictions against using common passwords Restrictions against using contextual string in the password (e.g.\, user id\, app name) Depending on the threat model\, the password policy may include several additional attributes. Complex passwords requiring mixed character sets (alpha\, numeric\, special\, mixed case) Increasing the range of characters makes the password harder to crack and may be appropriate for systems relying on single factor authentication. Unfortunately\, a complex password may be difficult to memorize\, encouraging a user to select a short password or to incorrectly manage the password (write it down). Another disadvantage of this approach is that it often does not result in a significant increases in overal password complexity due to people''s predictable usage of various symbols. Large Minimum Length (encouraging passphrases instead of passwords) Increasing the number of characters makes the password harder to crack and may be appropriate for systems relying on single factor authentication. A disadvantage of this approach is that selecting a good passphrase is not easy and poor passwords can still be generated. Some prompting may be needed to encourage long unpredictable passwords. Randomly Chosen Secrets Generating a password for the user can help make sure that length and complexity requirements are met\, and can result in secure passwords being used. A disadvantage of this approach is that the resulting password or passpharse may be too difficult to memorize\, encouraging them to be written down. Password Expiration Requiring a periodic password change can reduce the time window that an adversary has to crack a password\, while also limiting the damage caused by password exposures at other locations. Password expiration may be a good mitigating technique when long complex passwords are not desired. See NIST 80063B https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.80063b.pdf Sections: 5.1.1\, 10.2.1\, and Appendix A for further information on password requirements. PHASE:Architecture and Design: Consider a second authentication factor beyond the password\, which prevents the password from being a single point of failure. See CWE308 for further information. PHASE:Implementation: Consider implementing a password complexity meter to inform users when a chosen password meets the required attributes."
"Authentication Verification Requirements : Verify that passwords can contain spaces and truncation is not performed. Consecutive multiple spaces MAY optionally be coalesced.","The product does not require that users should have strong passwords\, which makes it easier for attackers to compromise user accounts. Authentication mechanisms often rely on a memorized secret (also known as a password) to provide an assertion of identity for a user of a system. It is therefore important that this password be of sufficient complexity and impractical for an adversary to guess. The specific requirements around how complex a password needs to be depends on the type of system being protected. Selecting the correct password requirements and enforcing them through implementation are critical to the overall success of the authentication mechanism.","PHASE:Architecture and Design: A product''s design should require adherance to an appropriate password policy. Specific password requirements depend strongly on contextual factors\, but it is recommended to contain the following attributes: Enforcement of a minimum and maximum length Restrictions against password reuse Restrictions against using common passwords Restrictions against using contextual string in the password (e.g.\, user id\, app name) Depending on the threat model\, the password policy may include several additional attributes. Complex passwords requiring mixed character sets (alpha\, numeric\, special\, mixed case) Increasing the range of characters makes the password harder to crack and may be appropriate for systems relying on single factor authentication. Unfortunately\, a complex password may be difficult to memorize\, encouraging a user to select a short password or to incorrectly manage the password (write it down). Another disadvantage of this approach is that it often does not result in a significant increases in overal password complexity due to people''s predictable usage of various symbols. Large Minimum Length (encouraging passphrases instead of passwords) Increasing the number of characters makes the password harder to crack and may be appropriate for systems relying on single factor authentication. A disadvantage of this approach is that selecting a good passphrase is not easy and poor passwords can still be generated. Some prompting may be needed to encourage long unpredictable passwords. Randomly Chosen Secrets Generating a password for the user can help make sure that length and complexity requirements are met\, and can result in secure passwords being used. A disadvantage of this approach is that the resulting password or passpharse may be too difficult to memorize\, encouraging them to be written down. Password Expiration Requiring a periodic password change can reduce the time window that an adversary has to crack a password\, while also limiting the damage caused by password exposures at other locations. Password expiration may be a good mitigating technique when long complex passwords are not desired. See NIST 80063B https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.80063b.pdf Sections: 5.1.1\, 10.2.1\, and Appendix A for further information on password requirements. PHASE:Architecture and Design: Consider a second authentication factor beyond the password\, which prevents the password from being a single point of failure. See CWE308 for further information. PHASE:Implementation: Consider implementing a password complexity meter to inform users when a chosen password meets the required attributes."
"Authentication Verification Requirements : Verify that Unicode characters are permitted in passwords. A single Unicode code point is considered a character\, so 12 emoji or 64 kanji characters should be valid and permitted.","The product does not require that users should have strong passwords\, which makes it easier for attackers to compromise user accounts. Authentication mechanisms often rely on a memorized secret (also known as a password) to provide an assertion of identity for a user of a system. It is therefore important that this password be of sufficient complexity and impractical for an adversary to guess. The specific requirements around how complex a password needs to be depends on the type of system being protected. Selecting the correct password requirements and enforcing them through implementation are critical to the overall success of the authentication mechanism.","PHASE:Architecture and Design: A product''s design should require adherance to an appropriate password policy. Specific password requirements depend strongly on contextual factors\, but it is recommended to contain the following attributes: Enforcement of a minimum and maximum length Restrictions against password reuse Restrictions against using common passwords Restrictions against using contextual string in the password (e.g.\, user id\, app name) Depending on the threat model\, the password policy may include several additional attributes. Complex passwords requiring mixed character sets (alpha\, numeric\, special\, mixed case) Increasing the range of characters makes the password harder to crack and may be appropriate for systems relying on single factor authentication. Unfortunately\, a complex password may be difficult to memorize\, encouraging a user to select a short password or to incorrectly manage the password (write it down). Another disadvantage of this approach is that it often does not result in a significant increases in overal password complexity due to people''s predictable usage of various symbols. Large Minimum Length (encouraging passphrases instead of passwords) Increasing the number of characters makes the password harder to crack and may be appropriate for systems relying on single factor authentication. A disadvantage of this approach is that selecting a good passphrase is not easy and poor passwords can still be generated. Some prompting may be needed to encourage long unpredictable passwords. Randomly Chosen Secrets Generating a password for the user can help make sure that length and complexity requirements are met\, and can result in secure passwords being used. A disadvantage of this approach is that the resulting password or passpharse may be too difficult to memorize\, encouraging them to be written down. Password Expiration Requiring a periodic password change can reduce the time window that an adversary has to crack a password\, while also limiting the damage caused by password exposures at other locations. Password expiration may be a good mitigating technique when long complex passwords are not desired. See NIST 80063B https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.80063b.pdf Sections: 5.1.1\, 10.2.1\, and Appendix A for further information on password requirements. PHASE:Architecture and Design: Consider a second authentication factor beyond the password\, which prevents the password from being a single point of failure. See CWE308 for further information. PHASE:Implementation: Consider implementing a password complexity meter to inform users when a chosen password meets the required attributes."
"Authentication Verification Requirements : Verify users can change their password.","When setting a new password for a user\, the product does not require knowledge of the original password\, or using another form of authentication. This could be used by an attacker to change passwords for another user\, thus gaining the privileges associated with that user.","PHASE:Architecture and Design: When prompting for a password change\, force the user to provide the original password in addition to the new password. PHASE:Architecture and Design: Do not use forgotten password functionality. But if you must\, ensure that you are only providing information to the actual user\, e.g. by using an email address or challenge question that the legitimate user already provided in the past; do not allow the current user to change this identity information until the correct password has been provided."
"Authentication Verification Requirements : Verify that password change functionality requires the user\s current and new password.","When setting a new password for a user\, the product does not require knowledge of the original password\, or using another form of authentication. This could be used by an attacker to change passwords for another user\, thus gaining the privileges associated with that user.","PHASE:Architecture and Design: When prompting for a password change\, force the user to provide the original password in addition to the new password. PHASE:Architecture and Design: Do not use forgotten password functionality. But if you must\, ensure that you are only providing information to the actual user\, e.g. by using an email address or challenge question that the legitimate user already provided in the past; do not allow the current user to change this identity information until the correct password has been provided."
"Authentication Verification Requirements : Verify that passwords submitted during account registration\, login\, and password change are checked against a set of breached passwords either locally (such as the top 1\,000 or 10\,000 most common passwords which match the system\s password policy) or using an external API. If using an API a zero knowledge proof or other mechanism should be used to ensure that the plain text password is not sent or used in verifying the breach status of the password. If the password is breached\, the application must require the user to set a new non-breached password.","The product does not require that users should have strong passwords\, which makes it easier for attackers to compromise user accounts. Authentication mechanisms often rely on a memorized secret (also known as a password) to provide an assertion of identity for a user of a system. It is therefore important that this password be of sufficient complexity and impractical for an adversary to guess. The specific requirements around how complex a password needs to be depends on the type of system being protected. Selecting the correct password requirements and enforcing them through implementation are critical to the overall success of the authentication mechanism.","PHASE:Architecture and Design: A product''s design should require adherance to an appropriate password policy. Specific password requirements depend strongly on contextual factors\, but it is recommended to contain the following attributes: Enforcement of a minimum and maximum length Restrictions against password reuse Restrictions against using common passwords Restrictions against using contextual string in the password (e.g.\, user id\, app name) Depending on the threat model\, the password policy may include several additional attributes. Complex passwords requiring mixed character sets (alpha\, numeric\, special\, mixed case) Increasing the range of characters makes the password harder to crack and may be appropriate for systems relying on single factor authentication. Unfortunately\, a complex password may be difficult to memorize\, encouraging a user to select a short password or to incorrectly manage the password (write it down). Another disadvantage of this approach is that it often does not result in a significant increases in overal password complexity due to people''s predictable usage of various symbols. Large Minimum Length (encouraging passphrases instead of passwords) Increasing the number of characters makes the password harder to crack and may be appropriate for systems relying on single factor authentication. A disadvantage of this approach is that selecting a good passphrase is not easy and poor passwords can still be generated. Some prompting may be needed to encourage long unpredictable passwords. Randomly Chosen Secrets Generating a password for the user can help make sure that length and complexity requirements are met\, and can result in secure passwords being used. A disadvantage of this approach is that the resulting password or passpharse may be too difficult to memorize\, encouraging them to be written down. Password Expiration Requiring a periodic password change can reduce the time window that an adversary has to crack a password\, while also limiting the damage caused by password exposures at other locations. Password expiration may be a good mitigating technique when long complex passwords are not desired. See NIST 80063B https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.80063b.pdf Sections: 5.1.1\, 10.2.1\, and Appendix A for further information on password requirements. PHASE:Architecture and Design: Consider a second authentication factor beyond the password\, which prevents the password from being a single point of failure. See CWE308 for further information. PHASE:Implementation: Consider implementing a password complexity meter to inform users when a chosen password meets the required attributes."
"Authentication Verification Requirements : Verify that a password strength meter is provided to help users set a stronger password.","The product does not require that users should have strong passwords\, which makes it easier for attackers to compromise user accounts. Authentication mechanisms often rely on a memorized secret (also known as a password) to provide an assertion of identity for a user of a system. It is therefore important that this password be of sufficient complexity and impractical for an adversary to guess. The specific requirements around how complex a password needs to be depends on the type of system being protected. Selecting the correct password requirements and enforcing them through implementation are critical to the overall success of the authentication mechanism.","PHASE:Architecture and Design: A product''s design should require adherance to an appropriate password policy. Specific password requirements depend strongly on contextual factors\, but it is recommended to contain the following attributes: Enforcement of a minimum and maximum length Restrictions against password reuse Restrictions against using common passwords Restrictions against using contextual string in the password (e.g.\, user id\, app name) Depending on the threat model\, the password policy may include several additional attributes. Complex passwords requiring mixed character sets (alpha\, numeric\, special\, mixed case) Increasing the range of characters makes the password harder to crack and may be appropriate for systems relying on single factor authentication. Unfortunately\, a complex password may be difficult to memorize\, encouraging a user to select a short password or to incorrectly manage the password (write it down). Another disadvantage of this approach is that it often does not result in a significant increases in overal password complexity due to people''s predictable usage of various symbols. Large Minimum Length (encouraging passphrases instead of passwords) Increasing the number of characters makes the password harder to crack and may be appropriate for systems relying on single factor authentication. A disadvantage of this approach is that selecting a good passphrase is not easy and poor passwords can still be generated. Some prompting may be needed to encourage long unpredictable passwords. Randomly Chosen Secrets Generating a password for the user can help make sure that length and complexity requirements are met\, and can result in secure passwords being used. A disadvantage of this approach is that the resulting password or passpharse may be too difficult to memorize\, encouraging them to be written down. Password Expiration Requiring a periodic password change can reduce the time window that an adversary has to crack a password\, while also limiting the damage caused by password exposures at other locations. Password expiration may be a good mitigating technique when long complex passwords are not desired. See NIST 80063B https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.80063b.pdf Sections: 5.1.1\, 10.2.1\, and Appendix A for further information on password requirements. PHASE:Architecture and Design: Consider a second authentication factor beyond the password\, which prevents the password from being a single point of failure. See CWE308 for further information. PHASE:Implementation: Consider implementing a password complexity meter to inform users when a chosen password meets the required attributes."
"Authentication Verification Requirements : Verify that there are no password composition rules limiting the type of characters permitted. There should be no requirement for upper or lower case or numbers or special characters.","The product does not require that users should have strong passwords\, which makes it easier for attackers to compromise user accounts. Authentication mechanisms often rely on a memorized secret (also known as a password) to provide an assertion of identity for a user of a system. It is therefore important that this password be of sufficient complexity and impractical for an adversary to guess. The specific requirements around how complex a password needs to be depends on the type of system being protected. Selecting the correct password requirements and enforcing them through implementation are critical to the overall success of the authentication mechanism.","PHASE:Architecture and Design: A product''s design should require adherance to an appropriate password policy. Specific password requirements depend strongly on contextual factors\, but it is recommended to contain the following attributes: Enforcement of a minimum and maximum length Restrictions against password reuse Restrictions against using common passwords Restrictions against using contextual string in the password (e.g.\, user id\, app name) Depending on the threat model\, the password policy may include several additional attributes. Complex passwords requiring mixed character sets (alpha\, numeric\, special\, mixed case) Increasing the range of characters makes the password harder to crack and may be appropriate for systems relying on single factor authentication. Unfortunately\, a complex password may be difficult to memorize\, encouraging a user to select a short password or to incorrectly manage the password (write it down). Another disadvantage of this approach is that it often does not result in a significant increases in overal password complexity due to people''s predictable usage of various symbols. Large Minimum Length (encouraging passphrases instead of passwords) Increasing the number of characters makes the password harder to crack and may be appropriate for systems relying on single factor authentication. A disadvantage of this approach is that selecting a good passphrase is not easy and poor passwords can still be generated. Some prompting may be needed to encourage long unpredictable passwords. Randomly Chosen Secrets Generating a password for the user can help make sure that length and complexity requirements are met\, and can result in secure passwords being used. A disadvantage of this approach is that the resulting password or passpharse may be too difficult to memorize\, encouraging them to be written down. Password Expiration Requiring a periodic password change can reduce the time window that an adversary has to crack a password\, while also limiting the damage caused by password exposures at other locations. Password expiration may be a good mitigating technique when long complex passwords are not desired. See NIST 80063B https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.80063b.pdf Sections: 5.1.1\, 10.2.1\, and Appendix A for further information on password requirements. PHASE:Architecture and Design: Consider a second authentication factor beyond the password\, which prevents the password from being a single point of failure. See CWE308 for further information. PHASE:Implementation: Consider implementing a password complexity meter to inform users when a chosen password meets the required attributes."
"Authentication Verification Requirements : Verify that there are no periodic credential rotation or password history requirements.","Allowing password aging to occur unchecked can result in the possibility of diminished password integrity. Just as neglecting to include functionality for the management of password aging is dangerous\, so is allowing password aging to continue unchecked. Passwords must be given a maximum life span\, after which a user is required to update with a new and different password.","PHASE:Architecture and Design: Ensure that password aging is limited so that there is a defined maximum age for passwords and so that the user is notified several times leading up to the password expiration."
