age_in_days;asset.display_fqdn;asset.display_ipv4_address;asset.display_ipv6_address;asset.display_mac_address;asset.host_name;asset.id;asset.name;asset.netbios_name;asset.network.id;asset.network.name;asset.operating_system;asset.system_type;asset.tags;asset_inventory;default_account;definition.bugtraq;definition.cpe;definition.cve;definition.cvss2.base_score;definition.cvss2.base_vector;definition.cvss2.temporal_score;definition.cvss2.temporal_vector;definition.cvss3.base_score;definition.cvss3.base_vector;definition.cvss3.temporal_score;definition.cvss3.temporal_vector;definition.cwe;;definition.exploitability_ease;definition.exploited_by_malware;definition.exploited_by_nessus;definition.family;definition.iava;definition.iavb;definition.iavm;definition.iavt;definition.id;definition.in_the_news;definition.malware;definition.name;definition.patch_published;definition.plugin_published;definition.plugin_updated;definition.plugin_version;definition.references;definition.see_also;definition.severity;definition.solution;definition.stig_severity;definition.synopsis;definition.type;definition.unsupported_by_vendor;definition.vpr.drivers_age_of_vulns_high;definition.vpr.drivers_age_of_vulns_low;definition.vpr.drivers_cvss3_impact_score;definition.vpr.drivers_exploit_code_maturity;definition.vpr.drivers_product_coverage;definition.vpr.drivers_threat_intensity;definition.vpr.drivers_threat_recency_high;definition.vpr.drivers_threat_recency_low;definition.vpr.drivers_threat_sources;definition.vpr.score;definition.vulnerability_published;first_observed;id;last_seen;output;port;protocol;recast_reason;risk_modified;scan.id;severity;state
14;Blah1;10.0.0.1;fe80:0:0:0:20d:3aff:fe45:647f;00:0d:3a:45:64:7f;Blah1;aecb524a-c10d-4d41-89d9-fa887ae8fb00;Blah1;;00000000-0000-0000-0000-000000000000;Default;Linux Kernel 4.18.0-348.12.2.el8_5.x86_64 on AlmaLinux release 8.8 (Sapphire Caracal);azure-instance;"[{""category"":""Azure"",""value"":""Connector+Scanned""},{""category"":""Azure"",""value"":""Connector""},{""category"":""Owners"",""value"":""Joe.Dixon@tttttttnnnnnn.com},{""category"":""Azure_OU"",""value"":""PU PLATFORM""},{""category"":""Azure_CC"",""value"":""MAPS-Floating car Data""},{""category"":""Azure_BU"",""value"":""Maps""},{""category"":""Azure"",""value"":""maps-wms-fcd-prod""}]";;;;;;2.1;CVSS2#AV:N/AC:H/Au:S/C:N/I:P/A:N;;;3.1;CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N;;;;"Some daemon processes on the remote host are associated with programs that have been installed manually.

System administration best practice dictates that an operating system's native package management tools be used to manage software installation, updates, and removal whenever possible.";;FALSE;FALSE;Misc.;;;;;33851;FALSE;FALSE;Network daemons not managed by the package system;;2008-08-08T00:00:00Z;2022-12-21T00:00:00Z;1.24;;;Low;"Use packages supplied by the operating system vendor whenever possible.

And make sure that manual software installation agrees with your organization's acceptable use and security policies.";;Some daemon processes on the remote host are associated with programs that have been installed manually.;LOCAL;FALSE;;;;;;;;;;;;2023-06-28T11:50:44.895Z;0012b94a-f4a1-4f2c-babc-6cac61f3cd0a;2023-07-12T12:14:16.850Z;"'
The following running daemon is not managed by RPM :

/usr/local/bin/node_exporter
";0;TCP;;NONE;a8c86324-469d-46aa-9176-50b1daaf1cd9;Low;ACTIVE
6;Blah2;10.0.0.2;fe80:0:0:0:222:48ff:febb:2c73;00:22:48:bb:2c:73;Blah2;37a1abf9-0e32-49e3-b565-7491c77da33f;Blah2;;00000000-0000-0000-0000-000000000000;Default;Ubuntu 18.04.6 LTS (Bionic Beaver);azure-instance;"[{""category"":""Azure"",""value"":""Connector+Scanned""},{""category"":""Azure_BU"",""value"":""Platform Products""},{""category"":""Azure"",""value"":""Connector""},{""category"":""Azure_CC"",""value"":""PP-Search""},{""category"":""Azure"",""value"":""Search - prod""},{""category"":""Azure_OU"",""value"":""SEARCH""}]";;;;;;2.1;CVSS2#AV:N/AC:H/Au:S/C:N/I:P/A:N;;;3.1;CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N;;;;"Some daemon processes on the remote host are associated with programs that have been installed manually.

System administration best practice dictates that an operating system's native package management tools be used to manage software installation, updates, and removal whenever possible.";;FALSE;FALSE;Misc.;;;;;33851;FALSE;FALSE;Network daemons not managed by the package system;;2008-08-08T00:00:00Z;2022-12-21T00:00:00Z;1.24;;;Low;"Use packages supplied by the operating system vendor whenever possible.

And make sure that manual software installation agrees with your organization's acceptable use and security policies.";;Some daemon processes on the remote host are associated with programs that have been installed manually.;LOCAL;FALSE;;;;;;;;;;;;2023-07-06T12:14:31.266Z;0022392f-e71d-4819-9e58-afde6b74c4cd;2023-07-12T12:07:10.379Z;"'
The following running daemon is not managed by dpkg :

/usr/local/bin/consul
";0;TCP;;NONE;02c38dd7-09ce-43df-a5e2-6201badfb67b;Low;ACTIVE
5;Blah3;10.0.0.3;fe80:0:0:0:222:48ff:fe8c:27ac;00:22:48:8c:27:ac;Blah3;827d183d-6389-4762-a032-4cb5b73dc874;Blah3;;81b1923f-e771-4a14-8ea9-eed2948851aa;LicensedVMs;AlmaLinux 8.8 (Sapphire Caracal);general-purpose;;;;;;;2.1;CVSS2#AV:N/AC:H/Au:S/C:N/I:P/A:N;;;3.1;CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N;;;;"Some daemon processes on the remote host are associated with programs that have been installed manually.

System administration best practice dictates that an operating system's native package management tools be used to manage software installation, updates, and removal whenever possible.";;FALSE;FALSE;Misc.;;;;;33851;FALSE;FALSE;Network daemons not managed by the package system;;2008-08-08T00:00:00Z;2022-12-21T00:00:00Z;1.24;;;Low;"Use packages supplied by the operating system vendor whenever possible.

And make sure that manual software installation agrees with your organization's acceptable use and security policies.";;Some daemon processes on the remote host are associated with programs that have been installed manually.;LOCAL;FALSE;;;;;;;;;;;;2023-07-07T11:54:24.907Z;00541359-331b-4dec-abf1-0c231d6e9218;2023-07-12T11:53:33.337Z;"'
The following running daemons are not managed by RPM :

/opt/grok_exporter/grok_exporter
/opt/prometheus/exporter/haproxy_exporter/haproxy_exporter-0.10.0.linux-amd64/haproxy_exporter
/opt/prometheus/exporters/dist/node_exporter-0.17.0.linux-amd64/node_exporter
";0;TCP;;NONE;cb0fc0ca-e6eb-498e-9595-c41d6b82159c;Low;ACTIVE
13;Blah4;10.0.0.4;fe80:0:0:0:20d:3aff:fe2e:c70d;00:0d:3a:2e:c7:0d;Blah4;520880f6-b39d-49a3-b19e-14e50c8d0720;Blah4;;00000000-0000-0000-0000-000000000000;Default;AlmaLinux 8.7 (Stone Smilodon);azure-instance;"[{""category"":""Azure"",""value"":""Connector+Scanned""},{""category"":""Azure"",""value"":""Connector""},{""category"":""Owners"",""value"":""bruce.adam@tttttttnnnnnn.com},{""category"":""Azure_OU"",""value"":""PU PLATFORM""},{""category"":""Azure_CC"",""value"":""MAPS-Floating car Data""},{""category"":""Azure_BU"",""value"":""Maps""},{""category"":""Azure"",""value"":""consumer-sport-fws-prod""}]";;;;;;2.1;CVSS2#AV:N/AC:H/Au:S/C:N/I:P/A:N;;;3.1;CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N;;;;"Some daemon processes on the remote host are associated with programs that have been installed manually.

System administration best practice dictates that an operating system's native package management tools be used to manage software installation, updates, and removal whenever possible.";;FALSE;FALSE;Misc.;;;;;33851;FALSE;FALSE;Network daemons not managed by the package system;;2008-08-08T00:00:00Z;2022-12-21T00:00:00Z;1.24;;;Low;"Use packages supplied by the operating system vendor whenever possible.

And make sure that manual software installation agrees with your organization's acceptable use and security policies.";;Some daemon processes on the remote host are associated with programs that have been installed manually.;LOCAL;FALSE;;;;;;;;;;;;2023-06-29T12:14:24.624Z;005b63e5-75f5-4c86-aa18-cf4e4fe904bb;2023-07-12T12:13:12.060Z;"'
The following running daemon is not managed by RPM :

/usr/local/bin/node_exporter
";0;TCP;;NONE;8d415c91-c867-4dca-9a05-b2a2e8376a37;Low;ACTIVE
502;Blah5;10.0.0.5;;;Blah5;c2dcf701-4c4e-4aef-96f4-33247837f5f5;Blah5;;00000000-0000-0000-0000-000000000000;Default;HP JetDirect Printer;printer;"[{""category"":""Office"",""value"":""Gent""}]";;;;;;2.6;CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N;;;3.7;CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N;;;;"The remote SSH server is configured to allow key exchange algorithms which are considered weak.

This is based on the IETF draft document Key Exchange (KEX) Method Updates and Recommendations for Secure Shell (SSH) draft-ietf-curdle-ssh-kex-sha2-20. Section 4 lists guidance on key exchange algorithms that SHOULD NOT and MUST NOT be enabled. This includes:

  diffie-hellman-group-exchange-sha1

  diffie-hellman-group1-sha1

  gss-gex-sha1-*

  gss-group1-sha1-*

  gss-group14-sha1-*

  rsa1024-sha1

Note that this plugin only checks for the options of the SSH server, and it does not check for vulnerable software versions.";;FALSE;FALSE;Misc.;;;;;153953;FALSE;FALSE;SSH Weak Key Exchange Algorithms Enabled;;2021-10-13T00:00:00Z;2021-10-13T00:00:00Z;1.2;;http://www.nessus.org/u?b02d91cd, https://datatracker.ietf.org/doc/html/rfc8732;Low;Contact the vendor or consult product documentation to disable the weak algorithms.;;The remote SSH server is configured to allow weak key exchange algorithms.;REMOTE;FALSE;;;;;;;;;;;;2022-02-25T15:07:55.004Z;008e61c1-0777-428e-a08e-ac56cab81bdd;2023-07-12T13:55:40.941Z;"'
The following weak key exchange algorithms are enabled : 

  diffie-hellman-group-exchange-sha1
  diffie-hellman-group1-sha1
";22;TCP;;NONE;8ec25ec0-bb5e-4867-9c24-3a990cde8c00;Low;RESURFACED
372;Blah6;10.0.0.6;;;Blah6;80a71790-bc3e-4488-8070-159730830c8f;Blah6;;00000000-0000-0000-0000-000000000000;Default;CISCO IOS 12, CISCO PIX, Cisco IOS XE, CISCO IOS 15;router;"[{""category"":""Office"",""value"":""Amsterdam DRK""}]";;;32319;;CVE-2008-5161;2.6;CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N;1.9;CVSS2#E:U/RL:OF/RC:C;;;;;200;"The SSH server is configured to support Cipher Block Chaining (CBC) encryption.  This may allow an attacker to recover the plaintext message from the ciphertext. 

Note that this plugin only checks for the options of the SSH server and does not check for vulnerable software versions.";NOT_AVAILABLE;FALSE;FALSE;Misc.;;;;;70658;FALSE;FALSE;SSH Server CBC Mode Ciphers Enabled;;2013-10-28T00:00:00Z;2018-07-30T00:00:00Z;1.4;BUGTRAQ=[32319], CERT=[958563], CVE=[CVE-2008-5161], CWE=[200];;Low;Contact the vendor or consult product documentation to disable CBC mode cipher encryption, and enable CTR or GCM cipher mode encryption.;;The SSH server is configured to use Cipher Block Chaining.;REMOTE;FALSE;;731;2.5;UNPROVEN;HIGH;VERY_LOW;;;No recorded events;2.5;2008-11-24T00:00:00Z;2022-07-05T12:07:49.962Z;00cdea5f-cf65-4e26-b518-83849ee3a10b;2023-07-10T08:17:04.298Z;"'
The following client-to-server Cipher Block Chaining (CBC) algorithms
are supported : 

  3des-cbc
  aes128-cbc
  aes192-cbc
  aes256-cbc

The following server-to-client Cipher Block Chaining (CBC) algorithms
are supported : 

  3des-cbc
  aes128-cbc
  aes192-cbc
  aes256-cbc
";22;TCP;;NONE;a70b8545-fb33-43f4-9d57-a0dd5b754264;Low;RESURFACED
7;Blah7;10.0.0.7;fe80:0:0:0:20d:3aff:fe3a:46ef;00:0d:3a:3a:46:ef;Blah7;c8f35dac-2ae6-4092-8c98-c283edf3a957;Blah7;;00000000-0000-0000-0000-000000000000;Default;Linux Kernel 3.10.0-1160.76.1.el7.x86_64 on CentOS Linux release 7.9.2009 (Core);azure-instance;"[{""category"":""Azure"",""value"":""Connector+Scanned""},{""category"":""Azure"",""value"":""Connector""},{""category"":""Azure_BU"",""value"":""Platform Products""},{""category"":""Azure_OU"",""value"":""SERVICE PLATFORM""},{""category"":""Azure_CC"",""value"":""PP-Compute""},{""category"":""Azure"",""value"":""sp-managed-services-prod""}]";;;;;;2.1;CVSS2#AV:N/AC:H/Au:S/C:N/I:P/A:N;;;3.1;CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N;;;;"Some daemon processes on the remote host are associated with programs that have been installed manually.

System administration best practice dictates that an operating system's native package management tools be used to manage software installation, updates, and removal whenever possible.";;FALSE;FALSE;Misc.;;;;;33851;FALSE;FALSE;Network daemons not managed by the package system;;2008-08-08T00:00:00Z;2022-12-21T00:00:00Z;1.24;;;Low;"Use packages supplied by the operating system vendor whenever possible.

And make sure that manual software installation agrees with your organization's acceptable use and security policies.";;Some daemon processes on the remote host are associated with programs that have been installed manually.;LOCAL;FALSE;;;;;;;;;;;;2023-07-05T11:56:20.550Z;00e491b5-46b2-4620-9254-3b2bec99d20c;2023-07-12T12:04:55.029Z;"'
The following running daemons are not managed by RPM :

/opt/rapid7/ir_agent/components/insight_agent/3.3.2.35/ir_agent
/oracle/product/11204/bin/oracle
/oracle/product/11204/bin/tnslsnr
";0;TCP;;NONE;f2bf9d7a-7b04-459e-924b-cb0568adcc53;Low;ACTIVE
182;Blah8;10.0.0.8;fe80:0:0:0:20d:3aff:fe45:fe60;00:0d:3a:45:fe:60;Blah8;b041d1aa-1fc3-4fa5-8ee0-f9c21570145a;Blah8;;00000000-0000-0000-0000-000000000000;Default;Ubuntu 18.04.6 LTS (Bionic Beaver);azure-instance;"[{""category"":""Azure"",""value"":""Connector""},{""category"":""Azure"",""value"":""Connector+Scanned""},{""category"":""Owners"",""value"":""Ben.Macnutt@tttttttnnnnnn.com},{""category"":""Azure_BU"",""value"":""Platform Products""},{""category"":""Azure_OU"",""value"":""SERVICE PLATFORM""},{""category"":""Azure_CC"",""value"":""PP-Network \u0026 Security""},{""category"":""Azure"",""value"":""net-prod-services""}]";;;;;;2.1;CVSS2#AV:N/AC:H/Au:S/C:N/I:P/A:N;;;3.1;CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N;;;;"Some daemon processes on the remote host are associated with programs that have been installed manually.

System administration best practice dictates that an operating system's native package management tools be used to manage software installation, updates, and removal whenever possible.";;FALSE;FALSE;Misc.;;;;;33851;FALSE;FALSE;Network daemons not managed by the package system;;2008-08-08T00:00:00Z;2022-12-21T00:00:00Z;1.24;;;Low;"Use packages supplied by the operating system vendor whenever possible.

And make sure that manual software installation agrees with your organization's acceptable use and security policies.";;Some daemon processes on the remote host are associated with programs that have been installed manually.;LOCAL;FALSE;;;;;;;;;;;;2023-01-11T14:47:14.218Z;00f80ff1-1f7d-496f-a606-bafa4b4610d0;2023-07-12T10:53:55.422Z;"'
The following running daemons are not managed by dpkg :

/opt/microsoft/omsagent/plugin/npmd_agent
/opt/rapid7/ir_agent/components/insight_agent/3.3.2.35/ir_agent
";0;TCP;;NONE;0fdce5fe-18b9-4de3-9854-9a686f30fb43;Low;ACTIVE
429;Blah9;10.0.0.9;;;Blah9;a6ccee07-5abe-48de-bee3-20b8ff19c7d4;Blah9;;00000000-0000-0000-0000-000000000000;Default;Linux Kernel 3.1, Linux Kernel 3.2, Linux Kernel 3.3;general-purpose;"[{""category"":""Office"",""value"":""pune2""},{""category"":""Office"",""value"":""Pune""}]";;;;;;;;;;;;;;;"At least one of the X.509 certificates sent by the remote host has a key that is shorter than 2048 bits. According to industry standards set by the Certification Authority/Browser (CA/B) Forum, certificates issued after January 1, 2014 must be at least 2048 bits.

Some browser SSL implementations may reject keys less than 2048 bits after January 1, 2014. Additionally, some SSL certificate vendors may revoke certificates less than 2048 bits before January 1, 2014.

Note that Nessus will not flag root certificates with RSA keys less than 2048 bits if they were issued prior to December 31, 2010, as the standard considers them exempt.";;FALSE;FALSE;General;;;;;69551;FALSE;FALSE;SSL Certificate Chain Contains RSA Keys Less Than 2048 bits;;2013-09-03T00:00:00Z;2018-11-15T00:00:00Z;1.4;;https://www.cabforum.org/wp-content/uploads/Baseline_Requirements_V1.pdf;Low;Replace the certificate in the chain with the RSA key less than 2048 bits in length with a longer key, and reissue any certificates signed by the old certificate.;;The X.509 certificate chain used by this service contains certificates with RSA keys shorter than 2048 bits.;REMOTE;FALSE;;;;;;;;;;;;2022-05-09T10:34:55.800Z;01476211-5bf3-4a44-8137-dc4b53441b0f;2023-07-11T20:51:21.228Z;"'
The following certificates were part of the certificate chain
sent by the remote host, but contain RSA keys that are considered
to be weak :

|-Subject        : C=NL/ST=Zuid-Holland/L=Gouda/O=Siqura/CN=0cdeb83bb76a70704933a692fe3d05f0/E=sales.nl@tkhsecurity.com
|-RSA Key Length : 1024 bits
";443;TCP;;NONE;2e2616c4-73be-4a5f-8462-0363fd979993;Low;RESURFACED
6;Blah10;10.0.0.10;fe80:0:0:0:20d:3aff:fea9:6d1d;00:0d:3a:a9:6d:1d;Blah10;5e5953f9-76fb-40e1-b822-77f921a7f4a6;Blah10;;00000000-0000-0000-0000-000000000000;Default;Linux Kernel 3.10.0-1160.92.1.el7.x86_64 on CentOS Linux release 7.9.2009 (Core);azure-instance;"[{""category"":""Azure_BU"",""value"":""Platform Products""},{""category"":""Owners"",""value"":""hans.vanleijen@tttttttnnnnnn.com},{""category"":""Azure_OU"",""value"":""SERVICE PLATFORM""},{""category"":""Azure"",""value"":""CIT-DSP-Prod""},{""category"":""Azure_CC"",""value"":""PP-Device Service Platform""}]";;;;p-cpe:/a:centos:centos:java-1.8.0-openjdk, p-cpe:/a:centos:centos:java-1.8.0-openjdk-accessibility, p-cpe:/a:centos:centos:java-1.8.0-openjdk-demo, p-cpe:/a:centos:centos:java-1.8.0-openjdk-devel, p-cpe:/a:centos:centos:java-1.8.0-openjdk-headless, p-cpe:/a:centos:centos:java-1.8.0-openjdk-javadoc, p-cpe:/a:centos:centos:java-1.8.0-openjdk-javadoc-zip, p-cpe:/a:centos:centos:java-1.8.0-openjdk-src, cpe:/o:centos:centos:7;CVE-2022-21619, CVE-2022-21624, CVE-2022-21626, CVE-2022-21628;2.6;CVSS2#AV:N/AC:H/Au:N/C:N/I:P/A:N;1.9;CVSS2#E:U/RL:OF/RC:C;3.7;CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N;3.2;CVSS:3.0/E:U/RL:O/RC:C;192, 330, 400, 770;"The remote CentOS Linux 7 host has packages installed that are affected by multiple vulnerabilities as referenced in the CESA-2022:7002 advisory.

  - OpenJDK: improper handling of long NTLM client hostnames (Security, 8286526) (CVE-2022-21619)

  - OpenJDK: insufficient randomization of JNDI DNS port numbers (JNDI, 8286910) (CVE-2022-21624)

  - OpenJDK: excessive memory allocation in X.509 certificate parsing (Security, 8286533) (CVE-2022-21626)

  - OpenJDK: HttpServer no connection count limit (Lightweight HTTP Server, 8286918) (CVE-2022-21628)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number.";NOT_AVAILABLE;FALSE;FALSE;CentOS Local Security Checks;;;;;166552;FALSE;FALSE;CentOS 7 : java-1.8.0-openjdk (CESA-2022:7002);2022-10-26T00:00:00Z;2022-10-26T00:00:00Z;2023-03-22T00:00:00Z;1.3;CVE=[CVE-2022-21619, CVE-2022-21624, CVE-2022-21626, CVE-2022-21628], CWE=[192, 330, 400, 770], RHSA=[2022:7002];http://www.nessus.org/u?0ce1bb6f;Low;Update the affected packages.;;The remote CentOS Linux host is missing one or more security updates.;LOCAL;FALSE;365;181;1.4;FUNCTIONAL;VERY_HIGH;VERY_LOW;;;No recorded events;2.9;2022-10-17T00:00:00Z;2023-07-06T11:49:24.456Z;015b03b2-df43-4b9b-ad35-f81a9c8e3532;2023-07-12T11:53:16.937Z;"'
Remote package installed : java-1.8.0-openjdk-1.8.0.262.b10-1.el7
Should be                : java-1.8.0-openjdk-1.8.0.352.b08-2.el7_9

Remote package installed : java-1.8.0-openjdk-headless-1.8.0.262.b10-1.el7
Should be                : java-1.8.0-openjdk-headless-1.8.0.352.b08-2.el7_9

";0;TCP;;NONE;1e409ea3-111d-4211-9e8b-dcd5037a9242;Low;ACTIVE
