"id","fqdn/ip","port","severity","finding","cve","cwe"
"engine_problem","www.defectdojo.org/","443","WARN","No engine or GOST support via engine with your /opt/repo_github/testssl.sh/bin/openssl.Linux.x86_64","",""
"service","www.defectdojo.org/185.199.110.153","443","INFO","HTTP","",""
"pre_128cipher","www.defectdojo.org/185.199.110.153","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.defectdojo.org/185.199.110.153","443","OK","not offered","",""
"SSLv3","www.defectdojo.org/185.199.110.153","443","OK","not offered","",""
"TLS1","www.defectdojo.org/185.199.110.153","443","INFO","not offered","",""
"TLS1_1","www.defectdojo.org/185.199.110.153","443","INFO","is not offered","",""
"TLS1_2","www.defectdojo.org/185.199.110.153","443","OK","offered","",""
"TLS1_3","www.defectdojo.org/185.199.110.153","443","INFO","not offered and downgraded to a weaker protocol","",""
"NPN","www.defectdojo.org/185.199.110.153","443","INFO","not offered","",""
"ALPN_HTTP2","www.defectdojo.org/185.199.110.153","443","OK","h2","",""
"ALPN","www.defectdojo.org/185.199.110.153","443","INFO","http/1.1","",""
"cipherlist_NULL","www.defectdojo.org/185.199.110.153","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.defectdojo.org/185.199.110.153","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.defectdojo.org/185.199.110.153","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.defectdojo.org/185.199.110.153","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.defectdojo.org/185.199.110.153","443","OK","not offered","","CWE-310"
"cipherlist_AVERAGE","www.defectdojo.org/185.199.110.153","443","LOW","offered","","CWE-310"
"cipherlist_STRONG","www.defectdojo.org/185.199.110.153","443","OK","offered","",""
"PFS","www.defectdojo.org/185.199.110.153","443","OK","offered","",""
"PFS_ciphers","www.defectdojo.org/185.199.110.153","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA","",""
"PFS_ECDHE_curves","www.defectdojo.org/185.199.110.153","443","OK","prime256v1 secp384r1 secp521r1 X25519","",""
"cipher_order","www.defectdojo.org/185.199.110.153","443","OK","server","",""
