"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","testurl.com/127.0.0.1","443","INFO","HTTP","",""
"pre_128cipher","testurl.com/127.0.0.1","443","INFO","No 128 cipher limit bug","",""
"SSLv2","testurl.com/127.0.0.1","443","OK","not offered","",""
"key_exchange_score_weighted","testurl.com/127.0.0.1","443","INFO","27","",""
"cipher_strength_score","testurl.com/127.0.0.1","443","INFO","90","",""
"cipher_strength_score_weighted","testurl.com/127.0.0.1","443","INFO","36","",""
"final_score","testurl.com/127.0.0.1","443","INFO","91","",""
"overall_grade","testurl.com/127.0.0.1","443","MEDIUM","B","",""
"grade_cap_reason_1","testurl.com/127.0.0.1","443","INFO","Grade capped to B. TLS 1.1 offered","",""
"grade_cap_reason_2","testurl.com/127.0.0.1","443","INFO","Grade capped to B. TLS 1.0 offered","",""
