"id","fqdn/ip","port","severity","finding","cve","cwe"
"cipherlist_NULL","asdf.com","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","asdf.com","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","asdf.com","443","OK","not offered","","CWE-327"
"cipherlist_LOW","asdf.com","443","HIGH","offered","","CWE-327"
"cipherlist_3DES_IDEA","asdf.com","443","MEDIUM","offered","","CWE-310"
"cipherlist_OBSOLETED","asdf.com","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","asdf.com","443","OK","offered","",""
"cipherlist_STRONG_FS","asdf.com","443","OK","offered","",""
"cipher-ssl2_x010080","asdf.com","443","HIGH","SSLv2   x010080 RC4-MD5                           RSA        RC4         128      SSL_CK_RC4_128_WITH_MD5","",""
"cipher-ssl2_x0700c0","asdf.com","443","HIGH","SSLv2   x0700c0 DES-CBC3-MD5                      RSA        3DES        168      SSL_CK_DES_192_EDE3_CBC_WITH_MD5","",""
"supportedciphers_SSLv2","asdf.com","443","INFO","RC4-MD5 DES-CBC3-MD5","",""
"cipher_order-ssl3","asdf.com","443","OK","server","",""
"cipher-ssl3_x0a","asdf.com","443","MEDIUM","SSLv3   x0a     DES-CBC3-SHA                      RSA        3DES        168      TLS_RSA_WITH_3DES_EDE_CBC_SHA","",""
"cipher-ssl3_x05","asdf.com","443","HIGH","SSLv3   x05     RC4-SHA                           RSA        RC4         128      TLS_RSA_WITH_RC4_128_SHA","",""
"cipher-ssl3_x04","asdf.com","443","HIGH","SSLv3   x04     RC4-MD5                           RSA        RC4         128      TLS_RSA_WITH_RC4_128_MD5","",""
"cipherorder_SSLv3","asdf.com","443","INFO","DES-CBC3-SHA RC4-SHA RC4-MD5","",""
"cipher_order-tls1","asdf.com","443","OK","server","",""
"cipher-tls1_xc014","asdf.com","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_xc013","asdf.com","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x39","asdf.com","443","LOW","TLSv1   x39     DHE-RSA-AES256-SHA                DH 1024    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x33","asdf.com","443","LOW","TLSv1   x33     DHE-RSA-AES128-SHA                DH 1024    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x35","asdf.com","443","LOW","TLSv1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
